holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AAL,American Airlines Group Inc,IWUQB36BXD6OWD6X4T14,American Airlines Group Inc,02376R102,US02376R1023,AAL,1230.00000000,NS,USD,21451.20,1.51,Long,EC,CORP,US,N,1,N,N,N
AER,AerCap Holdings NV,549300SZYINBBLJQU475,AerCap Holdings NV,N/A,NL0000687663,AER,200.00000000,NS,USD,29578.00,2.08,Long,EC,CORP,IE,N,1,N,N,N
AIR,AAR Corp,MP76T5YQX3YK5VVAQ802,AAR Corp,000361105,US0003611052,AIR,100.00000000,NS,USD,13294.00,0.93,Long,EC,CORP,US,N,1,N,N,N
ALGT,Allegiant Travel Co,549300JM9OZXOHWL2K18,Allegiant Travel Co,01748X102,US01748X1028,ALGT,80.00000000,NS,USD,8585.60,0.60,Long,EC,CORP,US,N,1,N,N,N
ALK,Alaska Air Group Inc,529900G48RT4KWLC6C27,Alaska Air Group Inc,011659109,US0116591092,ALK,270.00000000,NS,USD,13921.20,0.98,Long,EC,CORP,US,N,1,N,N,N
ASR,Grupo Aeroportuario del Surest,5299001W7JIDXCUOUC82,Grupo Aeroportuario del Sureste SAB de CV,40051E202,US40051E2028,ASR,60.00000000,NS,USD,18138.60,1.27,Long,EC,CORP,MX,N,1,N,N,N
ATI,ATI Inc,ZW1LRE7C3H17O2ZN9B45,ATI Inc,01741R102,US01741R1023,ATI,170.00000000,NS,USD,33590.30,2.36,Long,EC,CORP,US,N,1,N,N,N
BA,Boeing Co/The,RVHJWBXLJ1RFUBSY1F30,Boeing Co/The,097023105,US0970231058,BA,260.00000000,NS,USD,57265.00,4.02,Long,EC,CORP,US,N,1,N,N,N
CAE,CAE Inc,549300FFM2BEH2GF1E44,CAE Inc,124765108,CA1247651088,CAE,460.00000000,NS,USD,11477.00,0.81,Long,EC,CORP,CA,N,1,N,N,N
CPA,Copa Holdings SA,529900BB9UQJV6QQHA59,Copa Holdings SA,N/A,PAP310761054,CPA,80.00000000,NS,USD,12548.80,0.88,Long,EC,CORP,PA,N,1,N,N,N
CRS,Carpenter Technology Corp,DX6I6ZD3X5WNNCDJKP85,Carpenter Technology Corp,144285103,US1442851036,CRS,60.00000000,NS,USD,34857.00,2.45,Long,EC,CORP,US,N,1,N,N,N
DAL,Delta Air Lines Inc,Q2CCMS6R0AS67HJMBN42,Delta Air Lines Inc,247361702,US2473617023,DAL,600.00000000,NS,USD,54390.00,3.82,Long,EC,CORP,US,N,1,N,N,N
DCO,Ducommun Inc,549300Z71HMWF90S2214,Ducommun Inc,264147109,US2641471097,DCO,50.00000000,NS,USD,8265.50,0.58,Long,EC,CORP,US,N,1,N,N,N
EMBJ,Embraer SA,549300EM51WYXFHUY333,Embraer SA,29082A107,US29082A1079,EMBJ,290.00000000,NS,USD,17884.30,1.26,Long,EC,CORP,BR,N,1,N,N,N
FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,150.00000000,NS,USD,47524.50,3.34,Long,EC,CORP,US,N,1,N,N,N
FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,75.00000000,NS,USD,12033.75,0.85,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,43839.60000000,NS,USD,43839.60,3.08,Long,STIV,RF,US,N,1,N,N,N
FTAI,FTAI Aviation Ltd,N/A,FTAI Aviation Ltd,N/A,KYG3730V1059,FTAI,130.00000000,NS,USD,35378.20,2.48,Long,EC,CORP,US,N,1,N,N,N
GD,General Dynamics Corp,9C1X8XOOTYY2FNYTVH06,General Dynamics Corp,369550108,US3695501086,GD,200.00000000,NS,USD,68864.00,4.84,Long,EC,CORP,US,N,1,N,N,N
GE,GE AEROSPACE,3C7474T6CDKPR9K6YT90,GE AEROSPACE,369604301,US3696043013,GE,440.00000000,NS,USD,160987.20,11.31,Long,EC,CORP,US,N,1,N,N,N
HEI,HEICO Corp,529900O1DTDLCJ7L0I14,HEICO Corp,422806109,US4228061093,HEI,70.00000000,NS,USD,23471.00,1.65,Long,EC,CORP,US,N,1,N,N,N
HWM,Howmet Aerospace Inc,549300HO5WFZUT5N2T22,Howmet Aerospace Inc,443201108,US4432011082,HWM,260.00000000,NS,USD,71775.60,5.04,Long,EC,CORP,US,N,1,N,N,N
HXL,Hexcel Corp,S6Q7LW43WUBUHXY2QP69,Hexcel Corp,428291108,US4282911084,HXL,160.00000000,NS,USD,15276.80,1.07,Long,EC,CORP,US,N,1,N,N,N
JBLU,JetBlue Airways Corp,54930070J9H97ZO93T57,JetBlue Airways Corp,477143101,US4771431016,JBLU,1220.00000000,NS,USD,7063.80,0.50,Long,EC,CORP,US,N,1,N,N,N
JOBY,Joby Aviation Inc,254900NMVFUM8FO88E56,Joby Aviation Inc,N/A,KYG651631007,JOBY,1470.00000000,NS,USD,13641.60,0.96,Long,EC,CORP,US,N,1,N,N,N
LMT,Lockheed Martin Corp,DPRBOZP0K5RM2YE8UU08,Lockheed Martin Corp,539830109,US5398301094,LMT,120.00000000,NS,USD,58996.80,4.14,Long,EC,CORP,US,N,1,N,N,N
LOAR,Loar Holdings Inc,N/A,Loar Holdings Inc,53947R105,US53947R1059,LOAR,160.00000000,NS,USD,11808.00,0.83,Long,EC,CORP,US,N,1,N,N,N
LUV,Southwest Airlines Co,UDTZ87G0STFETI6HGH41,Southwest Airlines Co,844741108,US8447411088,LUV,640.00000000,NS,USD,32601.60,2.29,Long,EC,CORP,US,N,1,N,N,N
MOG/A,Moog Inc,549300WM2I4U7OBAHG07,Moog Inc,615394202,US6153942023,MOG/A,50.00000000,NS,USD,20245.00,1.42,Long,EC,CORP,US,N,1,N,N,N
