Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
BLCK,APLD US Equity,APLD,Applied Digital Corp,2549004NE2B6RYXINZ02,Applied Digital Corp,038169207,US0381692070,APLD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BKKT US Equity,BKKT,Bakkt Inc,N/A,Bakkt Inc,05759B305,US05759B3050,BKKT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BLSH US Equity,BLSH,Bullish,N/A,Bullish,G16910120,KYG169101204,BLSH,KY,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BMNR US Equity,BMNR,BitMine Immersion Technologies,254900TGJJ1D9JNAQT27,BitMine Immersion Technologies Inc,09175A206,US09175A2069,BMNR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BTBT US Equity,BTBT,Bit Digital Inc,2549005XLPRWS7HWCM31,Bit Digital Inc,G1144A105,KYG1144A1058,BTBT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BTDR US Equity,BTDR,Bitdeer Technologies Group,2549007M2KGWVJ9XFP20,Bitdeer Technologies Group,G11448100,KYG114481008,BTDR,SG,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,BTGO US Equity,BTGO,Bitgo Holdings Inc,254900UPX35JR22RH064,Bitgo Holdings Inc,091947101,US0919471013,BTGO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CANG US Equity,CANG,Cango Inc/KY,5299003TQHBB4QUSZB86,Cango Inc/KY,G1820C102,KYG1820C1107,CANG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CBOE US Equity,CBOE,Cboe Global Markets Inc,529900RLNSGA90UPEH54,Cboe Global Markets Inc,12503M108,US12503M1080,CBOE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CIFR US Equity,CIFR,Cipher Digital Inc,254900QABG5HCQZ28A17,Cipher Digital Inc,17253J106,US17253J1060,CIFR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CLSK US Equity,CLSK,Cleanspark Inc,254900VO7KBRJQDGY810,Cleanspark Inc,18452B209,US18452B2097,CLSK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CME US Equity,CME,CME Group Inc,LCZ7XYGSLJUHFXXNXD88,CME Group Inc,12572Q105,US12572Q1058,CME,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCK,CNCK US Equity,CNCK,Coincheck Group NV,5299004Z2A5SO6LXBB37,Coincheck Group NV,N20967118,NL0015002BV9,CNCK,NL,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
