holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
BRCC,BRC Inc,N/A,BRC Inc,05601U105,US05601U1051,BRCC,67776.00000000,NS,USD,84720.00,5.26,Long,EC,CORP,US,N,1,N,N,N
BROS,Dutch Bros Inc,N/A,Dutch Bros Inc,26701L100,US26701L1008,BROS,1284.00000000,NS,USD,86220.60,5.35,Long,EC,CORP,US,N,1,N,N,N
CELH,Celsius Holdings Inc,N/A,Celsius Holdings Inc,15118V207,US15118V2079,CELH,2136.00000000,NS,USD,60918.72,3.78,Long,EC,CORP,US,N,1,N,N,N
DNUT,Krispy Kreme Inc,N/A,Krispy Kreme Inc,50101L106,US50101L1061,DNUT,756.00000000,NS,USD,2819.88,0.18,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,11041.90000000,NS,USD,11041.90,0.69,Long,STIV,RF,US,N,1,N,N,N
IFF,International Flavors & Fragra,BZLRL03D3GPGMOGFO832,International Flavors & Fragrances Inc,459506101,US4595061015,IFF,960.00000000,NS,USD,72796.80,4.52,Long,EC,CORP,US,N,1,N,N,N
INGR,Ingredion Inc,PKSTQ48QDN0XSVS7YK88,Ingredion Inc,457187102,US4571871023,INGR,396.00000000,NS,USD,38851.56,2.41,Long,EC,CORP,US,N,1,N,N,N
KDP,Keurig Dr Pepper Inc,DYTQ8KRTKO7Y2BVU5K74,Keurig Dr Pepper Inc,49271V100,US49271V1008,KDP,2532.00000000,NS,USD,79504.80,4.93,Long,EC,CORP,US,N,1,N,N,N
KO,Coca-Cola Co/The,UWJKFUJFZ02DKWI3RY53,Coca-Cola Co/The,191216100,US1912161007,KO,3852.00000000,NS,USD,310471.20,19.27,Long,EC,CORP,US,N,1,N,N,N
MNST,Monster Beverage Corp,52990090AP0E7HCB6F33,Monster Beverage Corp,61174X109,US61174X1090,MNST,948.00000000,NS,USD,89775.60,5.57,Long,EC,CORP,US,N,1,N,N,N
PEP,PepsiCo Inc,FJSUNZKFNQ5YPJ5OT455,PepsiCo Inc,713448108,US7134481081,PEP,480.00000000,NS,USD,68289.60,4.24,Long,EC,CORP,US,N,1,N,N,N
QSR,Restaurant Brands Internationa,5299009RXTX9DN9AKJ98,Restaurant Brands International Inc,76131D103,CA76131D1033,QSR,912.00000000,NS,USD,66357.12,4.12,Long,EC,CORP,US,N,1,N,N,N
SBUX,Starbucks Corp,OQSJ1DU9TAOC51A47K68,Starbucks Corp,855244109,US8552441094,SBUX,3000.00000000,NS,USD,310590.00,19.28,Long,EC,CORP,US,N,1,N,N,N
SJM,J M Smucker Co/The,5493000WDH6A0LHDJD55,J M Smucker Co/The,832696405,US8326964058,SJM,768.00000000,NS,USD,85731.84,5.32,Long,EC,CORP,US,N,1,N,N,N
SXT,Sensient Technologies Corp,CMMZHMFZQG86EI7WZU92,Sensient Technologies Corp,81725T100,US81725T1007,SXT,252.00000000,NS,USD,30466.80,1.89,Long,EC,CORP,US,N,1,N,N,N
WEST,Westrock Coffee Co,N/A,Westrock Coffee Co,96145W103,US96145W1036,WEST,12864.00000000,NS,USD,124523.52,7.73,Long,EC,CORP,US,N,1,N,N,N
ZVIA,Zevia PBC,N/A,Zevia PBC,98955K104,US98955K1043,ZVIA,57264.00000000,NS,USD,84750.72,5.26,Long,EC,CORP,US,N,1,N,N,N
