holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACHR,Archer Aviation Inc,529900UGYVU0KY2RLD83,Archer Aviation Inc,03945R102,US03945R1023,ACHR,25172.00000000,NS,USD,127118.60,3.66,Long,EC,CORP,US,N,1,N,N,N
AMBA,Ambarella Inc,254900XN7F4DG0CEKC02,Ambarella Inc,N/A,KYG037AX1015,AMBA,2030.00000000,NS,USD,127869.70,3.68,Long,EC,CORP,US,N,1,N,N,N
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,667.00000000,NS,USD,156258.09,4.50,Long,EC,CORP,US,N,1,N,N,N
AUR,Aurora Innovation Inc,984500AB2E0D9F7D9D76,Aurora Innovation Inc,051774107,US0517741072,AUR,32132.00000000,NS,USD,200182.36,5.76,Long,EC,CORP,US,N,1,N,N,N
AVAV,AeroVironment Inc,529900PGHVI29YLZ6221,AeroVironment Inc,008073108,US0080731088,AVAV,812.00000000,NS,USD,115450.16,3.32,Long,EC,CORP,US,N,1,N,N,N
CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,Caterpillar Inc,149123101,US1491231015,CAT,174.00000000,NS,USD,173034.30,4.98,Long,EC,CORP,US,N,1,N,N,N
CGNX,Cognex Corp,549300JQTYZCLC43S226,Cognex Corp,192422103,US1924221039,CGNX,2987.00000000,NS,USD,190092.68,5.47,Long,EC,CORP,US,N,1,N,N,N
DE,Deere & Co,PWFTNG3EI0Y73OXWDH08,Deere & Co,244199105,US2441991054,DE,174.00000000,NS,USD,104530.50,3.01,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,55600.15000000,NS,USD,55600.15,1.60,Long,STIV,RF,US,N,1,N,N,N
GMED,Globus Medical Inc,5299003M2P4CIK0RF205,Globus Medical Inc,379577208,US3795772082,GMED,87.00000000,NS,USD,7144.44,0.21,Long,EC,CORP,US,N,1,N,N,N
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,1102.00000000,NS,USD,380509.58,10.95,Long,EC,CORP,US,N,1,N,N,N
ISRG,Intuitive Surgical Inc,54930052SRG011710797,Intuitive Surgical Inc,46120E602,US46120E6023,ISRG,377.00000000,NS,USD,151489.91,4.36,Long,EC,CORP,US,N,1,N,N,N
JBTM,JBT Marel Corp,5493007CT6ATBZ2L6826,JBT Marel Corp,477839104,US4778391049,JBTM,1218.00000000,NS,USD,163772.28,4.71,Long,EC,CORP,US,N,1,N,N,N
MBLY,Mobileye Global Inc,N/A,Mobileye Global Inc,60741F104,US60741F1049,MBLY,13688.00000000,NS,USD,106629.52,3.07,Long,EC,CORP,IL,N,1,N,N,N
NOVT,Novanta Inc,N/A,Novanta Inc,67000B104,CA67000B1040,NOVT,1102.00000000,NS,USD,167504.00,4.82,Long,EC,CORP,US,N,1,N,N,N
NVDA,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,2175.00000000,NS,USD,432825.00,12.46,Long,EC,CORP,US,N,1,N,N,N
PATH,UiPath Inc,5493000YP61KBELDHT53,UiPath Inc,90364P105,US90364P1057,PATH,14442.00000000,NS,USD,148897.02,4.29,Long,EC,CORP,US,N,1,N,N,N
PRCT,Procept Biorobotics Corp,N/A,Procept Biorobotics Corp,74276L105,US74276L1052,PRCT,5278.00000000,NS,USD,110046.30,3.17,Long,EC,CORP,US,N,1,N,N,N
PTC,PTC Inc,54930050SSMU8SKDJ030,PTC Inc,69370C100,US69370C1009,PTC,174.00000000,NS,USD,19649.82,0.57,Long,EC,CORP,US,N,1,N,N,N
RR,Richtech Robotics Inc,N/A,Richtech Robotics Inc,765504105,US7655041058,RR,44631.00000000,NS,USD,85245.21,2.45,Long,EC,CORP,US,N,1,N,N,N
SERV,Serve Robotics Inc,N/A,Serve Robotics Inc,81758H106,US81758H1068,SERV,12615.00000000,NS,USD,77203.80,2.22,Long,EC,CORP,US,N,1,N,N,N
SYK,Stryker Corp,5493002F0SC4JTBU5137,Stryker Corp,863667101,US8636671013,SYK,261.00000000,NS,USD,81870.48,2.36,Long,EC,CORP,US,N,1,N,N,N
SYM,Symbotic Inc,529900UN9QT55OG9I235,Symbotic Inc,87151X101,US87151X1019,SYM,2436.00000000,NS,USD,96051.48,2.76,Long,EC,CORP,US,N,1,N,N,N
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,464.00000000,NS,USD,174245.92,5.02,Long,EC,CORP,US,N,1,N,N,N
ZBH,ZIMMER BIOMET HOLDINGS INC,2P2YLDVPES3BXQ1FRB91,ZIMMER BIOMET HOLDINGS INC,98956P102,US98956P1021,ZBH,232.00000000,NS,USD,20954.24,0.60,Long,EC,CORP,US,N,1,N,N,N
