Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CBOT,ACHR US Equity,ACHR,Archer Aviation Inc,529900UGYVU0KY2RLD83,Archer Aviation Inc,03945R102,US03945R1023,ACHR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,AMBA US Equity,AMBA,Ambarella Inc,254900XN7F4DG0CEKC02,Ambarella Inc,G037AX101,KYG037AX1015,AMBA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,AMZN US Equity,AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,AUR US Equity,AUR,Aurora Innovation Inc,984500AB2E0D9F7D9D76,Aurora Innovation Inc,051774107,US0517741072,AUR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,AVAV US Equity,AVAV,AeroVironment Inc,529900PGHVI29YLZ6221,AeroVironment Inc,008073108,US0080731088,AVAV,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,CAT US Equity,CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,Caterpillar Inc,149123101,US1491231015,CAT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,CGNX US Equity,CGNX,Cognex Corp,549300JQTYZCLC43S226,Cognex Corp,192422103,US1924221039,CGNX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,DE US Equity,DE,Deere & Co,PWFTNG3EI0Y73OXWDH08,Deere & Co,244199105,US2441991054,DE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,GMED US Equity,GMED,Globus Medical Inc,5299003M2P4CIK0RF205,Globus Medical Inc,379577208,US3795772082,GMED,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,GOOGL US Equity,GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,ISRG US Equity,ISRG,Intuitive Surgical Inc,54930052SRG011710797,Intuitive Surgical Inc,46120E602,US46120E6023,ISRG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBOT,JBTM US Equity,JBTM,JBT Marel Corp,5493007CT6ATBZ2L6826,JBT Marel Corp,477839104,US4778391049,JBTM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
