holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
00081TAK4,2029-03-15,Fixed,4.25,N,N,N
00109LAA1,2029-08-01,Fixed,4.125,N,N,N
00253XAB7,2029-04-20,Fixed,5.75,N,N,N
00489LAL7,2030-11-06,Fixed,7.5,N,N,N
00653VAA9,2028-08-01,Fixed,6.125,N,N,N
00751YAE6,2030-04-15,Fixed,3.9,N,N,N
013092AG6,2029-03-15,Fixed,3.5,N,N,N
01330AAA4,2030-05-21,Fixed,7,N,N,N
01883LAE3,2028-04-15,Fixed,6.75,N,N,N
019576AD9,2031-02-15,Fixed,7.875,N,N,N
031921AC3,2029-02-15,Fixed,6.375,N,N,N
03772CAA1,2031-03-15,Fixed,6.75,N,N,N
039853AA4,2031-02-15,Fixed,7.75,N,N,N
039959AA9,2030-12-01,Fixed,9.5,N,N,N
04288BAB6,2030-10-01,Fixed,8,N,N,N
045086AP0,2030-04-01,Fixed,4.625,N,N,N
05352TAA7,2028-07-15,Fixed,4.625,N,N,N
058498AW6,2030-08-15,Fixed,2.875,N,N,N
060335AB2,2029-05-01,Fixed,8.125,N,N,N
07831CAA1,2030-03-15,Fixed,7,N,N,N
080782AA3,2029-10-15,Fixed,5.75,N,N,N
09216NAA8,2031-02-15,Fixed,6.125,N,N,N
097751CA7,2030-11-15,Fixed,8.75,N,N,N
10637BAA3,2030-11-15,Fixed,9.25,N,N,N
118230AU5,2028-03-01,Fixed,4.5,N,N,N
1248EPBX0,2028-02-01,Fixed,5,N,N,N
12543DBH2,2029-01-15,Fixed,6,N,N,N
12662PAH1,2031-02-15,Fixed,7.5,N,N,N
126650EH9,2055-03-10,Variable,7,N,N,N
131477BA8,2031-02-15,Fixed,9.75,N,N,N
140944AA7,2030-06-15,Fixed,8,N,N,N
143658CB6,2029-05-01,Fixed,5.125,N,N,N
15089QAW4,2028-11-15,Fixed,7.350000000000001,N,N,N
15135BAT8,2029-12-15,Fixed,4.625,N,N,N
156686AM9,2028-01-15,Fixed,6.875,N,N,N
172441BF3,2028-07-15,Fixed,5.25,N,N,N
17302XAN6,2029-01-15,Fixed,8.375,N,N,N
18064PAD1,2029-07-01,Fixed,4.875,N,N,N
18453HAF3,2030-04-01,Fixed,7.875,N,N,N
185899AN1,2030-04-15,Fixed,6.75,N,N,N
18912UAA0,2029-09-30,Fixed,9,N,N,N
18972EAB1,2030-04-15,Fixed,8.75,N,N,N
20752TAB0,2029-09-15,Fixed,9,N,N,N
20753PAD3,2031-04-03,Fixed,10.5,N,N,N
20848VAB1,2028-10-15,Fixed,6.5,N,N,N
21873SAB4,2030-06-01,Fixed,9.25,N,N,N
21874LAA0,2031-05-15,Fixed,7.75,N,N,N
227046AA7,2029-03-15,Fixed,4.25,N,N,N
23292NAA6,2031-04-15,Fixed,6.125,N,N,N
23918KAS7,2030-06-01,Fixed,4.625,N,N,N
254032AD7,2031-01-22,Fixed,6.6,N,N,N
25461LAD4,2031-02-15,Fixed,10,N,N,N
25470MAG4,2027-11-15,Fixed,11.75,N,N,N
257867BJ9,2029-08-01,Fixed,9.5,N,N,N
28414HAG8,2028-08-28,Fixed,6.4,N,N,N
29089QAC9,2028-08-15,Fixed,3.875,N,N,N
29103CAA6,2030-12-15,Fixed,6.625,N,N,N
29163VAG8,2029-05-01,Fixed,9.75,N,N,N
292052AF4,2026-11-01,Fixed,7.75,N,N,N
292554AS1,2031-04-15,Fixed,6.625,N,N,N
29605JAA4,2029-04-15,Fixed,6.25,N,N,N
29882DAC7,2056-04-01,Variable,6.25,N,N,N
302635AN7,2029-08-15,Fixed,6.875,N,N,N
315292AU6,2031-01-15,Fixed,9.25,N,N,N
34960PAF8,2031-05-01,Fixed,7,N,N,N
35641AAB4,2031-05-15,Fixed,9.125,N,N,N
359694AB2,2027-02-15,Fixed,4,N,N,N
36168QAQ7,2031-01-15,Fixed,6.75,N,N,N
37185LAP7,2029-01-15,Fixed,8.25,N,N,N
38016LAA3,2027-12-01,Fixed,5.25,N,N,N
382550BN0,2029-07-15,Fixed,5,N,N,N
38869AAB3,2028-03-15,Fixed,3.5,N,N,N
39807UAD8,2030-09-01,Fixed,7.75,N,N,N
398905AN9,2028-08-15,Fixed,4,N,N,N
402635AT3,2029-09-01,Fixed,6.75,N,N,N
415858AC3,2030-09-15,Fixed,8.625,N,N,N
42704LAE4,2029-06-15,Fixed,6.625,N,N,N
43118DAB6,2030-01-31,Fixed,9.125,N,N,N
431318AU8,2029-02-01,Fixed,5.75,N,N,N
44287GAA4,2031-02-15,Fixed,7.25,N,N,N
44332PAH4,2030-06-15,Fixed,7.25,N,N,N
44701QBE1,2029-05-01,Fixed,4.5,N,N,N
449691AC8,2028-10-15,Fixed,7,N,N,N
45074JAA2,2029-08-01,Fixed,6.5,N,N,N
45174HBJ5,2029-05-01,Fixed,9.125,N,N,N
45258LAA5,2029-05-15,Fixed,4.75,N,N,N
46284VAF8,2029-09-15,Fixed,4.875,N,N,N
469815AK0,2029-02-15,Fixed,6.75,N,N,N
47077WAC2,2031-04-30,Fixed,7.125,N,N,N
472481AC4,2030-05-15,Fixed,8.25,N,N,N
48020RAB1,2030-03-15,Fixed,8.5,N,N,N
48250NAC9,2027-06-01,Fixed,4.75,N,N,N
49461MAB6,2028-12-15,Fixed,6.625,N,N,N
50067PAA7,2027-12-15,Fixed,4.625,N,N,N
501797AN4,2028-02-01,Fixed,5.25,N,N,N
502160AN4,2028-10-15,Fixed,6.25,N,N,N
