Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CHYG,00081TAK4 Corp,00081TAK4,ACCO Brands Corp 4.25% 03/15/2,JCT8P4Y190IH4I1NX328,ACCO Brands Corp 4.25% 03/15/2029,00081TAK4,US00081TAK43,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-03-15,Fixed,4.25,,,
CHYG,00109LAA1 Corp,00109LAA1,ADT Security Corp/The 4.125% 0,5493009JEEDYLVRA0J13,ADT Security Corp/The 4.125% 08/01/2029,00109LAA1,US00109LAA17,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-08-01,Fixed,4.125,,,
CHYG,00253XAB7 Corp,00253XAB7,American Airlines Inc/AAdvanta,N/A,American Airlines Inc/AAdvantage Loyalty IP Ltd 5.75% 04/20/2029,00253XAB7,US00253XAB73,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-04-20,Fixed,5.75,,,
CHYG,00489LAL7 Corp,00489LAL7,Acrisure LLC / Acrisure Financ,N/A,Acrisure LLC / Acrisure Finance Inc 7.5% 11/06/2030,00489LAL7,US00489LAL71,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-11-06,Fixed,7.5,,,
CHYG,00653VAA9 Corp,00653VAA9,Adapthealth LLC 6.125% 08/01/2,N/A,Adapthealth LLC 6.125% 08/01/2028,00653VAA9,US00653VAA98,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-08-01,Fixed,6.125,,,
CHYG,00751YAE6 Corp,00751YAE6,Advance Auto Parts Inc 3.9% 04,529900UCNQ5H9FSL0Y70,Advance Auto Parts Inc 3.9% 04/15/2030,00751YAE6,US00751YAE68,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-04-15,Fixed,3.9,,,
CHYG,013092AG6 Corp,013092AG6,Albertsons Cos Inc / Safeway I,N/A,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC 3.5% 03/15/2029,013092AG6,US013092AG61,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-03-15,Fixed,3.5,,,
CHYG,01330AAA4 Corp,01330AAA4,Albion Financing 1 SARL / Aggr,N/A,Albion Financing 1 SARL / Aggreko Holdings Inc 7% 05/21/2030,01330AAA4,US01330AAA43,,LU,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-05-21,Fixed,7,,,
CHYG,01883LAE3 Corp,01883LAE3,Alliant Holdings Intermediate ,N/A,Alliant Holdings Intermediate LLC / Alliant Holdings Co-Issuer 6.75% 04/15/2028,01883LAE3,US01883LAE39,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-04-15,Fixed,6.75,,,
CHYG,019576AD9 Corp,019576AD9,Allied Universal Holdco LLC 7.,98450038B4549046D794,Allied Universal Holdco LLC 7.875% 02/15/2031,019576AD9,US019576AD90,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-02-15,Fixed,7.875,,,
