holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
912810FM5,2030-05-15,Fixed,6.25,N,N,N
912810FP8,2031-02-15,Fixed,5.375,N,N,N
912828YB0,2029-08-15,Fixed,1.625,N,N,N
912828YS3,2029-11-15,Fixed,1.75,N,N,N
912828Z94,2030-02-15,Fixed,1.5,N,N,N
912828ZQ6,2030-05-15,Fixed,0.625,N,N,N
91282CAE1,2030-08-15,Fixed,0.625,N,N,N
91282CAV3,2030-11-15,Fixed,0.875,N,N,N
91282CBL4,2031-02-15,Fixed,1.125,N,N,N
91282CCB5,2031-05-15,Fixed,1.625,N,N,N
91282CCS8,2031-08-15,Fixed,1.25,N,N,N
91282CDJ7,2031-11-15,Fixed,1.375,N,N,N
91282CDY4,2032-02-15,Fixed,1.875,N,N,N
91282CEP2,2032-05-15,Fixed,2.875,N,N,N
91282CES6,2029-05-31,Fixed,2.75,N,N,N
91282CEV9,2029-06-30,Fixed,3.25,N,N,N
91282CFC0,2029-07-31,Fixed,2.625,N,N,N
91282CFF3,2032-08-15,Fixed,2.75,N,N,N
91282CFJ5,2029-08-31,Fixed,3.125,N,N,N
91282CFL0,2029-09-30,Fixed,3.875,N,N,N
91282CFT3,2029-10-31,Fixed,4,N,N,N
91282CFV8,2032-11-15,Fixed,4.125,N,N,N
91282CFY2,2029-11-30,Fixed,3.875,N,N,N
91282CGB1,2029-12-31,Fixed,3.875,N,N,N
91282CGJ4,2030-01-31,Fixed,3.5,N,N,N
91282CGM7,2033-02-15,Fixed,3.5,N,N,N
91282CGQ8,2030-02-28,Fixed,4,N,N,N
91282CGS4,2030-03-31,Fixed,3.625,N,N,N
91282CGZ8,2030-04-30,Fixed,3.5,N,N,N
91282CHC8,2033-05-15,Fixed,3.375,N,N,N
91282CHF1,2030-05-31,Fixed,3.75,N,N,N
91282CHJ3,2030-06-30,Fixed,3.75,N,N,N
91282CHR5,2030-07-31,Fixed,4,N,N,N
91282CHW4,2030-08-31,Fixed,4.125,N,N,N
91282CHZ7,2030-09-30,Fixed,4.625,N,N,N
91282CJG7,2030-10-31,Fixed,4.875,N,N,N
91282CJM4,2030-11-30,Fixed,4.375,N,N,N
91282CJQ5,2030-12-31,Fixed,3.75,N,N,N
91282CJX0,2031-01-31,Fixed,4,N,N,N
91282CKC4,2031-02-28,Fixed,4.25,N,N,N
91282CKF7,2031-03-31,Fixed,4.125,N,N,N
91282CKN0,2031-04-30,Fixed,4.625,N,N,N
91282CKT7,2029-05-31,Fixed,4.5,N,N,N
91282CKU4,2031-05-31,Fixed,4.625,N,N,N
91282CKW0,2031-06-30,Fixed,4.25,N,N,N
91282CKX8,2029-06-30,Fixed,4.25,N,N,N
91282CLC3,2029-07-31,Fixed,4,N,N,N
91282CLD1,2031-07-31,Fixed,4.125,N,N,N
91282CLJ8,2031-08-31,Fixed,3.75,N,N,N
91282CLK5,2029-08-31,Fixed,3.625,N,N,N
91282CLM1,2031-09-30,Fixed,3.625,N,N,N
91282CLN9,2029-09-30,Fixed,3.5,N,N,N
91282CLR0,2029-10-31,Fixed,4.125,N,N,N
91282CLU3,2031-10-31,Fixed,4.125,N,N,N
91282CLZ2,2031-11-30,Fixed,4.125,N,N,N
91282CMA6,2029-11-30,Fixed,4.125,N,N,N
91282CMC2,2031-12-31,Fixed,4.5,N,N,N
91282CMD0,2029-12-31,Fixed,4.375,N,N,N
91282CMG3,2030-01-31,Fixed,4.25,N,N,N
91282CMK4,2032-01-31,Fixed,4.375,N,N,N
91282CMR9,2032-02-29,Fixed,4.125,N,N,N
91282CMT5,2032-03-31,Fixed,4.125,N,N,N
91282CMU2,2030-03-31,Fixed,4,N,N,N
91282CMZ1,2030-04-30,Fixed,3.875,N,N,N
91282CNA5,2032-04-30,Fixed,4,N,N,N
91282CNF4,2032-05-31,Fixed,4.125,N,N,N
91282CNG2,2030-05-31,Fixed,4,N,N,N
91282CNJ6,2032-06-30,Fixed,4,N,N,N
91282CNK3,2030-06-30,Fixed,3.875,N,N,N
91282CNN7,2030-07-31,Fixed,3.875,N,N,N
91282CNR8,2032-07-31,Fixed,4,N,N,N
91282CNW7,2032-08-31,Fixed,3.875,N,N,N
91282CNX5,2030-08-31,Fixed,3.625,N,N,N
91282CNZ0,2032-09-30,Fixed,3.875,N,N,N
91282CPA3,2030-09-30,Fixed,3.625,N,N,N
91282CPD7,2030-10-31,Fixed,3.625,N,N,N
91282CPF2,2032-10-31,Fixed,3.75,N,N,N
91282CPM7,2032-11-30,Fixed,3.75,N,N,N
91282CPN5,2030-11-30,Fixed,3.5,N,N,N
91282CPQ8,2032-12-31,Fixed,3.875,N,N,N
91282CPR6,2030-12-31,Fixed,3.625,N,N,N
91282CPW5,2031-01-31,Fixed,3.75,N,N,N
91282CPY1,2033-01-31,Fixed,4,N,N,N
91282CQC8,2033-02-28,Fixed,3.75,N,N,N
91282CQD6,2031-02-28,Fixed,3.5,N,N,N
91282CQF1,2033-03-31,Fixed,4.25,N,N,N
91282CQG9,2031-03-31,Fixed,3.875,N,N,N
91282CQK0,2031-04-30,Fixed,3.875,N,N,N
91282CQN4,2033-04-30,Fixed,4.125,N,N,N
