Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CIEI,912810FM5 Govt,912810FM5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.25% 05/15/2030,912810FM5,US912810FM54,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-05-15,Fixed,6.25,,,
CIEI,912810FP8 Govt,912810FP8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.375% 02/15/2031,912810FP8,US912810FP85,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-02-15,Fixed,5.375,,,
CIEI,912828YB0 Govt,912828YB0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 08/15/2029,912828YB0,US912828YB05,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-08-15,Fixed,1.625,,,
CIEI,912828YS3 Govt,912828YS3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.75% 11/15/2029,912828YS3,US912828YS30,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-11-15,Fixed,1.75,,,
CIEI,912828Z94 Govt,912828Z94,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.5% 02/15/2030,912828Z94,US912828Z948,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-02-15,Fixed,1.5,,,
CIEI,912828ZQ6 Govt,912828ZQ6,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 05/15/2030,912828ZQ6,US912828ZQ64,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-05-15,Fixed,0.625,,,
CIEI,91282CAE1 Govt,91282CAE1,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 08/15/2030,91282CAE1,US91282CAE12,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-08-15,Fixed,0.625,,,
CIEI,91282CAV3 Govt,91282CAV3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.875% 11/15/2030,91282CAV3,US91282CAV37,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-11-15,Fixed,0.875,,,
CIEI,91282CBL4 Govt,91282CBL4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.125% 02/15/2031,91282CBL4,US91282CBL46,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-02-15,Fixed,1.125,,,
CIEI,91282CCB5 Govt,91282CCB5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 05/15/2031,91282CCB5,US91282CCB54,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-05-15,Fixed,1.625,,,
