holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
00206RKG6,2028-02-01,Fixed,1.65,N,N,N
002824BS8,2031-03-15,Fixed,4,N,N,N
00287YBX6,2029-11-21,Fixed,3.2,N,N,N
00724PAD1,2030-02-01,Fixed,2.3,N,N,N
015271AU3,2030-12-15,Fixed,4.9,N,N,N
01609WAT9,2027-12-06,Fixed,3.4,N,N,N
017175AE0,2030-05-15,Fixed,3.625,N,N,N
02079KBK2,2031-02-15,Fixed,4.1,N,N,N
02209SBD4,2029-02-14,Fixed,4.8,N,N,N
023135DD5,2031-03-13,Fixed,4.25,N,N,N
025816ED7,2029-04-25,Variable,4.731,N,N,N
03040WAS4,2028-09-01,Fixed,3.75,N,N,N
031162DP2,2028-03-02,Fixed,5.15,N,N,N
032095AT8,2028-06-12,Fixed,4.375,N,N,N
035240AV2,2030-06-01,Fixed,3.5,N,N,N
036752AP8,2031-03-15,Fixed,2.55,N,N,N
037833ED8,2031-02-08,Fixed,1.65,N,N,N
04010LBB8,2028-06-15,Fixed,2.875,N,N,N
04010LBF9,2029-03-01,Fixed,5.875,N,N,N
04636NAF0,2028-03-03,Fixed,4.875,N,N,N
051473AD8,2031-03-23,Fixed,4.656,N,N,N
05351WAB9,2029-06-01,Fixed,3.8,N,N,N
054989AA6,2030-08-02,Fixed,6.343,N,N,N
05555LAD3,2030-04-02,Fixed,6.15,N,N,N
05946KAX9,2031-05-08,Fixed,4.968,N,N,N
06051GHD4,2028-12-20,Variable,3.419,N,N,N
06051GJT7,2032-04-22,Variable,2.687,N,N,N
06368LGV2,2028-02-01,Fixed,5.203,N,N,N
06406RCB1,2031-02-11,Variable,4.942,N,N,N
06418GAQ0,2031-02-14,Variable,5.13,N,N,N
06738ECY9,2031-02-25,Variable,5.367,N,N,N
09247XAQ4,2030-04-30,Fixed,2.4,N,N,N
09261HCC9,2031-05-15,Fixed,5.95,N,N,N
09261XAJ1,2028-04-13,Fixed,5.35,N,N,N
097023CY9,2030-05-01,Fixed,5.15,N,N,N
10112RBD5,2031-01-30,Fixed,3.25,N,N,N
10373QAE0,2028-11-06,Fixed,4.234,N,N,N
111021AE1,2030-12-15,Fixed,9.625,N,N,N
11120VAH6,2029-05-15,Fixed,4.125,N,N,N
11135FCB5,2030-02-15,Fixed,4.35,N,N,N
12541WAA8,2028-04-15,Fixed,4.2,N,N,N
125523AH3,2028-10-15,Fixed,4.375,N,N,N
125896BU3,2050-06-01,Variable,4.75,N,N,N
126650CX6,2028-03-25,Fixed,4.3,N,N,N
13607LNG4,2028-04-28,Fixed,5.001,N,N,N
13607QWB4,2030-01-29,Variable,4.283,N,N,N
14040HCN3,2030-03-01,Variable,3.273,N,N,N
14040HCZ6,2029-06-08,Variable,6.312,N,N,N
14149YBN7,2029-02-15,Fixed,5.125,N,N,N
14913V2D9,2031-05-15,Fixed,4.5,N,N,N
166764BY5,2030-05-11,Fixed,2.236,N,N,N
17275RBR2,2029-02-26,Fixed,4.85,N,N,N
17275RBS0,2031-02-26,Fixed,4.95,N,N,N
172967KA8,2027-09-29,Fixed,4.45,N,N,N
172967MP3,2031-03-31,Variable,4.412,N,N,N
174610BF1,2030-01-23,Variable,5.841,N,N,N
200340AT4,2029-02-01,Fixed,4,N,N,N
205887CC4,2028-11-01,Fixed,4.85,N,N,N
225401AP3,2031-04-01,Variable,4.194,N,N,N
22822VAK7,2028-02-15,Fixed,3.8,N,N,N
233331BK2,2029-03-01,Fixed,5.1,N,N,N
24422EWR6,2028-01-20,Fixed,4.75,N,N,N
251526CU1,2029-11-20,Variable,6.819,N,N,N
254687FX9,2031-01-13,Fixed,2.65,N,N,N
256677AG0,2030-04-03,Fixed,3.5,N,N,N
256746AH1,2028-05-15,Fixed,4.2,N,N,N
26442CAX2,2028-11-15,Fixed,3.95,N,N,N
26884LBD0,2031-01-15,Fixed,4.75,N,N,N
277432AZ3,2029-08-01,Fixed,5,N,N,N
278058DW9,2029-03-06,Fixed,3.95,N,N,N
278642AW3,2030-03-11,Fixed,2.7,N,N,N
29249EAA7,2029-05-28,Fixed,6.25,N,N,N
29278DAA3,2028-06-12,Fixed,4.875,N,N,N
29278NAG8,2029-04-15,Fixed,5.25,N,N,N
29379VBV4,2029-07-31,Fixed,3.125,N,N,N
30040WAT5,2028-03-01,Fixed,5.45,N,N,N
30225VAK3,2030-07-01,Fixed,5.5,N,N,N
30231GBK7,2030-03-19,Fixed,3.482,N,N,N
30303M8L9,2028-05-15,Fixed,4.6,N,N,N
30303MAB8,2030-11-15,Fixed,4.2,N,N,N
31488VAB3,2031-03-15,Fixed,4.35,N,N,N
31620MCA2,2028-03-10,Fixed,4.45,N,N,N
31620MCD6,2029-03-10,Fixed,4.55,N,N,N
320517AE5,2031-03-07,Variable,5.514,N,N,N
337738AU2,2029-07-01,Fixed,3.5,N,N,N
345397ZR7,2029-05-03,Fixed,5.113,N,N,N
