holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
00206RKG6,AT&T Inc 1.65% 02/01/2028,549300Z40J86GGSTL398,AT&T Inc 1.65% 02/01/2028,00206RKG6,US00206RKG64,,39000.00000000,PA,USD,37283.35,0.88,Long,DBT,CORP,US,N,2,N,N,N
002824BS8,Abbott Laboratories 4% 03/15/2,HQD377W2YR662HK5JX27,Abbott Laboratories 4% 03/15/2031,002824BS8,US002824BS80,,21000.00000000,PA,USD,20475.51,0.48,Long,DBT,CORP,US,N,2,N,N,N
00287YBX6,AbbVie Inc 3.2% 11/21/2029,FR5LCKFTG8054YNNRU85,AbbVie Inc 3.2% 11/21/2029,00287YBX6,US00287YBX67,,21000.00000000,PA,USD,20115.13,0.47,Long,DBT,CORP,US,N,2,N,N,N
00724PAD1,Adobe Inc 2.3% 02/01/2030,FU4LY2G4933NH2E1CP29,Adobe Inc 2.3% 02/01/2030,00724PAD1,US00724PAD15,,22000.00000000,PA,USD,20327.92,0.48,Long,DBT,CORP,US,N,2,N,N,N
015271AU3,Alexandria Real Estate Equitie,MGCJBT4MKTQBVLNUIS88,Alexandria Real Estate Equities Inc 4.9% 12/15/2030,015271AU3,US015271AU38,,20000.00000000,PA,USD,19984.42,0.47,Long,DBT,CORP,US,N,2,N,N,N
01609WAT9,Alibaba Group Holding Ltd 3.4%,5493001NTNQJDH60PM02,Alibaba Group Holding Ltd 3.4% 12/06/2027,01609WAT9,US01609WAT99,,20000.00000000,PA,USD,19751.29,0.46,Long,DBT,CORP,HK,N,2,N,N,N
017175AE0,Alleghany Corp 3.625% 05/15/20,549300DCJE6AYX159479,Alleghany Corp 3.625% 05/15/2030,017175AE0,US017175AE07,,21000.00000000,PA,USD,20334.05,0.48,Long,DBT,CORP,US,N,2,N,N,N
02079KBK2,Alphabet Inc 4.1% 02/15/2031,5493006MHB84DD0ZWV18,Alphabet Inc 4.1% 02/15/2031,02079KBK2,US02079KBK25,,21000.00000000,PA,USD,20648.88,0.48,Long,DBT,CORP,US,N,2,N,N,N
02209SBD4,Altria Group Inc 4.8% 02/14/20,XSGZFLO9YTNO9VCQV219,Altria Group Inc 4.8% 02/14/2029,02209SBD4,US02209SBD45,,20000.00000000,PA,USD,20073.99,0.47,Long,DBT,CORP,US,N,2,N,N,N
023135DD5,Amazon.com Inc 4.25% 03/13/203,ZXTILKJKG63JELOEG630,Amazon.com Inc 4.25% 03/13/2031,023135DD5,US023135DD51,,13000.00000000,PA,USD,12816.08,0.30,Long,DBT,CORP,US,N,2,N,N,N
025816ED7,American Express Co 4.731% 04/,R4PP93JZOLY261QX3811,American Express Co 4.731% 04/25/2029,025816ED7,US025816ED77,,20000.00000000,PA,USD,20053.17,0.47,Long,DBT,CORP,US,N,2,N,N,N
03040WAS4,American Water Capital Corp 3.,5IDHQUFVC8Q2KIBBFF06,American Water Capital Corp 3.75% 09/01/2028,03040WAS4,US03040WAS44,,21000.00000000,PA,USD,20677.49,0.49,Long,DBT,CORP,US,N,2,N,N,N
031162DP2,Amgen Inc 5.15% 03/02/2028,62QBXGPJ34PQ72Z12S66,Amgen Inc 5.15% 03/02/2028,031162DP2,US031162DP23,,20000.00000000,PA,USD,20198.78,0.47,Long,DBT,CORP,US,N,2,N,N,N
032095AT8,Amphenol Corp 4.375% 06/12/202,549300D3L3G0R4U4VT04,Amphenol Corp 4.375% 06/12/2028,032095AT8,US032095AT89,,20000.00000000,PA,USD,19980.37,0.47,Long,DBT,CORP,US,N,2,N,N,N
035240AV2,Anheuser-Busch InBev Worldwide,549300CRGMZK3K53BF92,Anheuser-Busch InBev Worldwide Inc 3.5% 06/01/2030,035240AV2,US035240AV25,,41000.00000000,PA,USD,39581.91,0.93,Long,DBT,CORP,US,N,2,N,N,N
036752AP8,Elevance Health Inc 2.55% 03/1,8MYN82XMYQH89CTMTH67,Elevance Health Inc 2.55% 03/15/2031,036752AP8,US036752AP88,,22000.00000000,PA,USD,19977.87,0.47,Long,DBT,CORP,US,N,2,N,N,N
037833ED8,Apple Inc 1.65% 02/08/2031,HWUPKR0MPOU8FGXBT394,Apple Inc 1.65% 02/08/2031,037833ED8,US037833ED89,,23000.00000000,PA,USD,20450.75,0.48,Long,DBT,CORP,US,N,2,N,N,N
04010LBB8,Ares Capital Corp 2.875% 06/15,WEQ82666OJYSI5GUAB47,Ares Capital Corp 2.875% 06/15/2028,04010LBB8,US04010LBB80,,21000.00000000,PA,USD,20092.26,0.47,Long,DBT,CORP,US,N,2,N,N,N
04010LBF9,Ares Capital Corp 5.875% 03/01,WEQ82666OJYSI5GUAB47,Ares Capital Corp 5.875% 03/01/2029,04010LBF9,US04010LBF94,,19000.00000000,PA,USD,19142.72,0.45,Long,DBT,CORP,US,N,2,N,N,N
