Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CIVG,00206RKG6 Corp,00206RKG6,AT&T Inc 1.65% 02/01/2028,549300Z40J86GGSTL398,AT&T Inc 1.65% 02/01/2028,00206RKG6,US00206RKG64,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-02-01,Fixed,1.65,,,
CIVG,002824BS8 Corp,002824BS8,Abbott Laboratories 4% 03/15/2,HQD377W2YR662HK5JX27,Abbott Laboratories 4% 03/15/2031,002824BS8,US002824BS80,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-03-15,Fixed,4,,,
CIVG,00287YBX6 Corp,00287YBX6,AbbVie Inc 3.2% 11/21/2029,FR5LCKFTG8054YNNRU85,AbbVie Inc 3.2% 11/21/2029,00287YBX6,US00287YBX67,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-11-21,Fixed,3.2,,,
CIVG,00724PAD1 Corp,00724PAD1,Adobe Inc 2.3% 02/01/2030,FU4LY2G4933NH2E1CP29,Adobe Inc 2.3% 02/01/2030,00724PAD1,US00724PAD15,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-02-01,Fixed,2.3,,,
CIVG,015271AU3 Corp,015271AU3,Alexandria Real Estate Equitie,MGCJBT4MKTQBVLNUIS88,Alexandria Real Estate Equities Inc 4.9% 12/15/2030,015271AU3,US015271AU38,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-12-15,Fixed,4.9,,,
CIVG,01609WAT9 Corp,01609WAT9,Alibaba Group Holding Ltd 3.4%,5493001NTNQJDH60PM02,Alibaba Group Holding Ltd 3.4% 12/06/2027,01609WAT9,US01609WAT99,,HK,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-12-06,Fixed,3.4,,,
CIVG,017175AE0 Corp,017175AE0,Alleghany Corp 3.625% 05/15/20,549300DCJE6AYX159479,Alleghany Corp 3.625% 05/15/2030,017175AE0,US017175AE07,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030-05-15,Fixed,3.625,,,
CIVG,02079KBK2 Corp,02079KBK2,Alphabet Inc 4.1% 02/15/2031,5493006MHB84DD0ZWV18,Alphabet Inc 4.1% 02/15/2031,02079KBK2,US02079KBK25,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-02-15,Fixed,4.1,,,
CIVG,02209SBD4 Corp,02209SBD4,Altria Group Inc 4.8% 02/14/20,XSGZFLO9YTNO9VCQV219,Altria Group Inc 4.8% 02/14/2029,02209SBD4,US02209SBD45,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-02-14,Fixed,4.8,,,
CIVG,023135DD5 Corp,023135DD5,Amazon.com Inc 4.25% 03/13/203,ZXTILKJKG63JELOEG630,Amazon.com Inc 4.25% 03/13/2031,023135DD5,US023135DD51,,US,DBT,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031-03-13,Fixed,4.25,,,
