holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
02079K305-TRS-05/31/27-L-CANT,N/A,N/A,ALPHABET INC.-SWAP-CANT-L,N/A,,02079K305-TRS-05/31/27-L-CANT,1,NC,USD,-54651.54,-0.63,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,02079K305-TRS-05/31/27-L-CANT
023135106-TRS-05/31/27-L-CANT,N/A,N/A,"AMAZON.COM, INC.-SWAP-CANT-L",N/A,,023135106-TRS-05/31/27-L-CANT,1,NC,USD,-33192.09,-0.38,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,023135106-TRS-05/31/27-L-CANT
037833100-TRS-05/31/27-L-CANT,N/A,N/A,APPLE INC.-SWAP-CANT-L,N/A,,037833100-TRS-05/31/27-L-CANT,1,NC,USD,-2681.45,-0.03,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,037833100-TRS-05/31/27-L-CANT
30303M102-TRS-05/31/27-L-CANT,N/A,N/A,"META PLATFORMS, INC.-SWAP-CANT-L",N/A,,30303M102-TRS-05/31/27-L-CANT,1,NC,USD,-12970.95,-0.15,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,30303M102-TRS-05/31/27-L-CANT
594918104-TRS-05/31/27-L-CANT,N/A,N/A,MICROSOFT CORPORATION-SWAP-CANT-L,N/A,,594918104-TRS-05/31/27-L-CANT,1,NC,USD,-66723.03,-0.77,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,594918104-TRS-05/31/27-L-CANT
67066G104-TRS-05/31/27-L-CANT,N/A,N/A,NVIDIA CORPORATION-SWAP-CANT-L,N/A,,67066G104-TRS-05/31/27-L-CANT,1,NC,USD,-32803.25,-0.38,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,67066G104-TRS-05/31/27-L-CANT
88160R101-TRS-05/31/27-L-CANT,N/A,N/A,"TESLA, INC.-SWAP-CANT-L",N/A,,88160R101-TRS-05/31/27-L-CANT,1,NC,USD,-12189.34,-0.14,Long,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,88160R101-TRS-05/31/27-L-CANT
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,Apple Inc,037833100,US0378331005,AAPL,2993.00000000,NS,USD,877188.44,10.10,Long,EC,CORP,US,N,1,N,N,N,,,
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,2044.00000000,NS,USD,478847.88,5.51,Long,EC,CORP,US,N,1,N,N,N,,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,3382033.33000000,NS,USD,3382033.33,38.95,Long,STIV,RF,US,N,1,N,N,N,,,
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,2420.00000000,NS,USD,835601.80,9.62,Long,EC,CORP,US,N,1,N,N,N,,,
META,Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,Meta Platforms Inc,30303M102,US30303M1027,META,511.00000000,NS,USD,284969.37,3.28,Long,EC,CORP,US,N,1,N,N,N,,,
MSFT,Microsoft Corp,INR2EJN1ERAN0W5ZP974,Microsoft Corp,594918104,US5949181045,MSFT,1533.00000000,NS,USD,560250.18,6.45,Long,EC,CORP,US,N,1,N,N,N,,,
NVDA,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,4756.00000000,NS,USD,946444.00,10.90,Long,EC,CORP,US,N,1,N,N,N,,,
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,730.00000000,NS,USD,274136.90,3.16,Long,EC,CORP,US,N,1,N,N,N,,,
