holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ARQQ,Arqit Quantum Inc,254900G93Z1SN49J9J68,Arqit Quantum Inc,N/A,KYG0567U1278,ARQQ,42824.00000000,NS,USD,1226479.36,7.74,Long,EC,CORP,GB,N,1,N,N,N
BTQ,BTQ Technologies Corp,9845009I0C867C156D63,BTQ Technologies Corp,055869101,CA0558691014,BTQ,144963.00000000,NS,USD,798021.32,5.04,Long,EC,CORP,CA,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,157569.23000000,NS,USD,157569.23,0.99,Long,STIV,RF,US,N,1,N,N,N
FORM,FormFactor Inc,549300YCEEO6SZD1ZR61,FormFactor Inc,346375108,US3463751087,FORM,2626.00000000,NS,USD,371368.92,2.34,Long,EC,CORP,US,N,1,N,N,N
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,1436.00000000,NS,USD,495836.44,3.13,Long,EC,CORP,US,N,1,N,N,N
HON,Honeywell International Inc,ISRPG12PN4EIEOEMW547,Honeywell International Inc,438516106,US4385162056,HON,2929.00000000,NS,USD,666113.18,4.20,Long,EC,CORP,US,N,1,N,N,N
HQ,Horizon Quantum Holdings LTD,N/A,Horizon Quantum Holdings LTD,N/A,SGXZ31642911,HQ,54742.00000000,NS,USD,1555220.22,9.82,Long,EC,CORP,SG,N,1,N,N,N
IBM,International Business Machine,VGRQXHF3J8VDLUA7XE92,International Business Machines Corp,459200101,US4592001014,IBM,2626.00000000,NS,USD,690532.96,4.36,Long,EC,CORP,US,N,1,N,N,N
INFQ,Infleqtion Inc,N/A,Infleqtion Inc,45676K103,US45676K1034,INFQ,46864.00000000,NS,USD,660782.40,4.17,Long,EC,CORP,US,N,1,N,N,N
IONQ,IonQ Inc,529900RB2VEFGLQS7G28,IonQ Inc,46222L108,US46222L1089,IONQ,58277.00000000,NS,USD,3123647.20,19.72,Long,EC,CORP,US,N,1,N,N,N
LAES,SEALSQ Corp,894500UBT7U7WMV2PG59,SEALSQ Corp,N/A,VGG794831062,LAES,27674.00000000,NS,USD,89387.02,0.56,Long,EC,CORP,CH,N,1,N,N,N
QBTS,D-Wave Quantum Inc,5493001U37G4PRD4GW95,D-Wave Quantum Inc,26740W109,US26740W1099,QBTS,134532.00000000,NS,USD,3091545.36,19.51,Long,EC,CORP,US,N,1,N,N,N
QNC,Quantum Emotion Corp,984500T1YCBEAFFA0495,Quantum Emotion Corp,74767K103,CA74767K1030,QNC,231088.00000000,NS,USD,707129.28,4.46,Long,EC,CORP,CA,N,1,N,N,N
QNT,Quantinuum Inc,529900XVZ9SO3PH40230,Quantinuum Inc,74768A104,US74768A1043,QNT,9002.00000000,NS,USD,640042.20,4.04,Long,EC,CORP,US,N,1,N,N,N
QUBT,Quantum Computing Inc,N/A,Quantum Computing Inc,74766W108,US74766W1080,QUBT,69488.00000000,NS,USD,674033.60,4.25,Long,EC,CORP,US,N,1,N,N,N
RGTI,Rigetti Computing Inc,52990024JHY459DH8W71,Rigetti Computing Inc,76655K103,US76655K1034,RGTI,26183.00000000,NS,USD,511353.99,3.23,Long,EC,CORP,US,N,1,N,N,N
SKYT,SkyWater Technology Inc,N/A,SkyWater Technology Inc,83089J108,US83089J1088,SKYT,4242.00000000,NS,USD,148682.10,0.94,Long,EC,CORP,US,N,1,N,N,N
XNDU,Xanadu Quantum Technologies Lt,254900ERDXSXKJDE3515,Xanadu Quantum Technologies Ltd,98390R102,CA98390R1029,XNDU,20099.00000000,NS,USD,237168.20,1.50,Long,EC,CORP,CA,N,1,N,N,N
