holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
912810FB9,2027-11-15,Fixed,6.125,N,N,N
912810FF0,2028-11-15,Fixed,5.25,N,N,N
9128282R0,2027-08-15,Fixed,2.25,N,N,N
9128283F5,2027-11-15,Fixed,2.25,N,N,N
9128283W8,2028-02-15,Fixed,2.75,N,N,N
9128284N7,2028-05-15,Fixed,2.875,N,N,N
9128284V9,2028-08-15,Fixed,2.875,N,N,N
9128285M8,2028-11-15,Fixed,3.125,N,N,N
9128286B1,2029-02-15,Fixed,2.625,N,N,N
9128286T2,2029-05-15,Fixed,2.375,N,N,N
912828ZS2,2027-05-31,Fixed,0.5,N,N,N
912828ZV5,2027-06-30,Fixed,0.5,N,N,N
91282CAD3,2027-07-31,Fixed,0.375,N,N,N
91282CAH4,2027-08-31,Fixed,0.5,N,N,N
91282CAL5,2027-09-30,Fixed,0.375,N,N,N
91282CAU5,2027-10-31,Fixed,0.5,N,N,N
91282CAY7,2027-11-30,Fixed,0.625,N,N,N
91282CBB6,2027-12-31,Fixed,0.625,N,N,N
91282CBJ9,2028-01-31,Fixed,0.75,N,N,N
91282CBP5,2028-02-29,Fixed,1.125,N,N,N
91282CBS9,2028-03-31,Fixed,1.25,N,N,N
91282CBZ3,2028-04-30,Fixed,1.25,N,N,N
91282CCE9,2028-05-31,Fixed,1.25,N,N,N
91282CCH2,2028-06-30,Fixed,1.25,N,N,N
91282CCR0,2028-07-31,Fixed,1,N,N,N
91282CCV1,2028-08-31,Fixed,1.125,N,N,N
91282CCY5,2028-09-30,Fixed,1.25,N,N,N
91282CDF5,2028-10-31,Fixed,1.375,N,N,N
91282CDL2,2028-11-30,Fixed,1.5,N,N,N
91282CDP3,2028-12-31,Fixed,1.375,N,N,N
91282CDW8,2029-01-31,Fixed,1.75,N,N,N
91282CEB3,2029-02-28,Fixed,1.875,N,N,N
91282CEE7,2029-03-31,Fixed,2.375,N,N,N
91282CEM9,2029-04-30,Fixed,2.875,N,N,N
91282CET4,2027-05-31,Fixed,2.625,N,N,N
91282CEW7,2027-06-30,Fixed,3.25,N,N,N
91282CFB2,2027-07-31,Fixed,2.75,N,N,N
91282CFH9,2027-08-31,Fixed,3.125,N,N,N
91282CFM8,2027-09-30,Fixed,4.125,N,N,N
91282CFU0,2027-10-31,Fixed,4.125,N,N,N
91282CFZ9,2027-11-30,Fixed,3.875,N,N,N
91282CGC9,2027-12-31,Fixed,3.875,N,N,N
91282CGH8,2028-01-31,Fixed,3.5,N,N,N
91282CGP0,2028-02-29,Fixed,4,N,N,N
91282CGT2,2028-03-31,Fixed,3.625,N,N,N
91282CHA2,2028-04-30,Fixed,3.5,N,N,N
91282CHE4,2028-05-31,Fixed,3.625,N,N,N
91282CHK0,2028-06-30,Fixed,4,N,N,N
91282CHQ7,2028-07-31,Fixed,4.125,N,N,N
91282CHX2,2028-08-31,Fixed,4.375,N,N,N
91282CJA0,2028-09-30,Fixed,4.625,N,N,N
91282CJF9,2028-10-31,Fixed,4.875,N,N,N
91282CJN2,2028-11-30,Fixed,4.375,N,N,N
91282CJR3,2028-12-31,Fixed,3.75,N,N,N
91282CJW2,2029-01-31,Fixed,4,N,N,N
91282CKD2,2029-02-28,Fixed,4.25,N,N,N
91282CKG5,2029-03-31,Fixed,4.125,N,N,N
91282CKP5,2029-04-30,Fixed,4.625,N,N,N
91282CKV2,2027-06-15,Fixed,4.625,N,N,N
91282CKZ3,2027-07-15,Fixed,4.375,N,N,N
91282CLG4,2027-08-15,Fixed,3.75,N,N,N
91282CLL3,2027-09-15,Fixed,3.375,N,N,N
91282CLQ2,2027-10-15,Fixed,3.875,N,N,N
91282CLX7,2027-11-15,Fixed,4.125,N,N,N
91282CMB4,2027-12-15,Fixed,4,N,N,N
91282CMF5,2028-01-15,Fixed,4.25,N,N,N
91282CMN8,2028-02-15,Fixed,4.25,N,N,N
91282CMS7,2028-03-15,Fixed,3.875,N,N,N
91282CMW8,2028-04-15,Fixed,3.75,N,N,N
91282CND9,2028-05-15,Fixed,3.75,N,N,N
91282CNE7,2027-05-31,Fixed,3.875,N,N,N
91282CNH0,2028-06-15,Fixed,3.875,N,N,N
91282CNL1,2027-06-30,Fixed,3.75,N,N,N
91282CNM9,2028-07-15,Fixed,3.875,N,N,N
91282CNP2,2027-07-31,Fixed,3.875,N,N,N
91282CNU1,2028-08-15,Fixed,3.625,N,N,N
91282CNV9,2027-08-31,Fixed,3.625,N,N,N
91282CNY3,2028-09-15,Fixed,3.375,N,N,N
91282CPB1,2027-09-30,Fixed,3.5,N,N,N
91282CPC9,2028-10-15,Fixed,3.5,N,N,N
91282CPE5,2027-10-31,Fixed,3.5,N,N,N
91282CPK1,2028-11-15,Fixed,3.5,N,N,N
91282CPL9,2027-11-30,Fixed,3.375,N,N,N
91282CPP0,2028-12-15,Fixed,3.5,N,N,N
91282CPS4,2027-12-31,Fixed,3.375,N,N,N
91282CPT2,2029-01-15,Fixed,3.5,N,N,N
91282CQA2,2029-02-15,Fixed,3.5,N,N,N
91282CQB0,2028-02-29,Fixed,3.375,N,N,N
91282CQE4,2029-03-15,Fixed,3.5,N,N,N
91282CQH7,2028-03-31,Fixed,3.875,N,N,N
91282CQJ3,2029-04-15,Fixed,3.875,N,N,N
91282CQL8,2028-04-30,Fixed,3.75,N,N,N
91282CQR5,2029-05-15,Fixed,3.875,N,N,N
