Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CUST,912810FB9 Govt,912810FB9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.125% 11/15/2027,912810FB9,US912810FB99,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-11-15,Fixed,6.125,,,
CUST,912810FF0 Govt,912810FF0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.25% 11/15/2028,912810FF0,US912810FF04,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-11-15,Fixed,5.25,,,
CUST,9128282R0 Govt,9128282R0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 08/15/2027,9128282R0,US9128282R06,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-08-15,Fixed,2.25,,,
CUST,9128283F5 Govt,9128283F5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 11/15/2027,9128283F5,US9128283F58,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-11-15,Fixed,2.25,,,
CUST,9128283W8 Govt,9128283W8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.75% 02/15/2028,9128283W8,US9128283W81,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-02-15,Fixed,2.75,,,
CUST,9128284N7 Govt,9128284N7,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 05/15/2028,9128284N7,US9128284N73,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-05-15,Fixed,2.875,,,
CUST,9128284V9 Govt,9128284V9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 08/15/2028,9128284V9,US9128284V99,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-08-15,Fixed,2.875,,,
CUST,9128285M8 Govt,9128285M8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.125% 11/15/2028,9128285M8,US9128285M81,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-11-15,Fixed,3.125,,,
CUST,9128286B1 Govt,9128286B1,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.625% 02/15/2029,9128286B1,US9128286B18,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-02-15,Fixed,2.625,,,
CUST,9128286T2 Govt,9128286T2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.375% 05/15/2029,9128286T2,US9128286T26,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-05-15,Fixed,2.375,,,
CUST,912828ZS2 Govt,912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-31,Fixed,0.5,,,
CUST,912828ZV5 Govt,912828ZV5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 06/30/2027,912828ZV5,US912828ZV59,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-06-30,Fixed,0.5,,,
CUST,91282CAD3 Govt,91282CAD3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.375% 07/31/2027,91282CAD3,US91282CAD39,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-07-31,Fixed,0.375,,,
CUST,91282CAH4 Govt,91282CAH4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 08/31/2027,91282CAH4,US91282CAH43,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-08-31,Fixed,0.5,,,
CUST,91282CAL5 Govt,91282CAL5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.375% 09/30/2027,91282CAL5,US91282CAL54,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-09-30,Fixed,0.375,,,
CUST,91282CAU5 Govt,91282CAU5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 10/31/2027,91282CAU5,US91282CAU53,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-10-31,Fixed,0.5,,,
CUST,91282CAY7 Govt,91282CAY7,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 11/30/2027,91282CAY7,US91282CAY75,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-11-30,Fixed,0.625,,,
CUST,91282CBB6 Govt,91282CBB6,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 12/31/2027,91282CBB6,US91282CBB63,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-12-31,Fixed,0.625,,,
CUST,91282CBJ9 Govt,91282CBJ9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.75% 01/31/2028,91282CBJ9,US91282CBJ99,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-01-31,Fixed,0.75,,,
CUST,91282CBP5 Govt,91282CBP5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.125% 02/29/2028,91282CBP5,US91282CBP59,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-02-29,Fixed,1.125,,,
CUST,91282CBS9 Govt,91282CBS9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 03/31/2028,91282CBS9,US91282CBS98,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-03-31,Fixed,1.25,,,
CUST,91282CBZ3 Govt,91282CBZ3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 04/30/2028,91282CBZ3,US91282CBZ32,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-04-30,Fixed,1.25,,,
CUST,91282CCE9 Govt,91282CCE9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 05/31/2028,91282CCE9,US91282CCE93,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-05-31,Fixed,1.25,,,
CUST,91282CCH2 Govt,91282CCH2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 06/30/2028,91282CCH2,US91282CCH25,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-06-30,Fixed,1.25,,,
CUST,91282CCR0 Govt,91282CCR0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1% 07/31/2028,91282CCR0,US91282CCR07,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-07-31,Fixed,1,,,
CUST,91282CCV1 Govt,91282CCV1,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.125% 08/31/2028,91282CCV1,US91282CCV19,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-08-31,Fixed,1.125,,,
CUST,91282CCY5 Govt,91282CCY5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 09/30/2028,91282CCY5,US91282CCY57,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-09-30,Fixed,1.25,,,
CUST,91282CDF5 Govt,91282CDF5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.375% 10/31/2028,91282CDF5,US91282CDF59,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-10-31,Fixed,1.375,,,
CUST,91282CDL2 Govt,91282CDL2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.5% 11/30/2028,91282CDL2,US91282CDL28,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-11-30,Fixed,1.5,,,
CUST,91282CDP3 Govt,91282CDP3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.375% 12/31/2028,91282CDP3,US91282CDP32,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-12-31,Fixed,1.375,,,
CUST,91282CDW8 Govt,91282CDW8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.75% 01/31/2029,91282CDW8,US91282CDW82,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-01-31,Fixed,1.75,,,
CUST,91282CEB3 Govt,91282CEB3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.875% 02/28/2029,91282CEB3,US91282CEB37,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-02-28,Fixed,1.875,,,
CUST,91282CEE7 Govt,91282CEE7,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.375% 03/31/2029,91282CEE7,US91282CEE75,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-03-31,Fixed,2.375,,,
CUST,91282CEM9 Govt,91282CEM9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 04/30/2029,91282CEM9,US91282CEM91,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029-04-30,Fixed,2.875,,,
CUST,91282CET4 Govt,91282CET4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.625% 05/31/2027,91282CET4,US91282CET45,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-31,Fixed,2.625,,,
CUST,91282CEW7 Govt,91282CEW7,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.25% 06/30/2027,91282CEW7,US91282CEW73,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-06-30,Fixed,3.25,,,
