Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
DIPR,ASTS US Equity,ASTS,AST SpaceMobile Inc,254900MBSC9P2UCI6623,AST SpaceMobile Inc,00217D100,US00217D1000,ASTS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,BKSY US Equity,BKSY,BlackSky Technology Inc,N/A,BlackSky Technology Inc,09263B207,US09263B2079,BKSY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,BWXT US Equity,BWXT,BWX Technologies Inc,549300NP85N265KWMS58,BWX Technologies Inc,05605H100,US05605H1005,BWXT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,ECHO US Equity,ECHO,EchoStar Corp,549300EE20907QZ9GT38,EchoStar Corp,278768106,US2787681061,ECHO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,FEIM US Equity,FEIM,Frequency Electronics Inc,549300S56SO2JB5JBE31,Frequency Electronics Inc,358010106,US3580101067,FEIM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,FLY US Equity,FLY,Firefly Aerospace Inc,529900JPYLDP30163X55,Firefly Aerospace Inc,31816X106,US31816X1063,FLY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,GILT US Equity,GILT,Gilat Satellite Networks Ltd,529900RVHDCYJ5YWHP12,Gilat Satellite Networks Ltd,M51474118,IL0010825102,GILT,IL,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,GOGO US Equity,GOGO,Gogo Inc,549300VL3DIHSFHYTO04,Gogo Inc,38046C109,US38046C1099,GOGO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPR,GRMN US Equity,GRMN,Garmin Ltd,2549001E0HIPIJQ0W046,Garmin Ltd,H2906T109,CH0114405324,GRMN,CH,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
