Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
EUV,AAOI US Equity,AAOI,Applied Optoelectronics Inc,529900I8U6Q5SYDNLT48,Applied Optoelectronics Inc,03823U102,US03823U1025,AAOI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,ADTN US Equity,ADTN,ADTRAN Holdings Inc,549300VV36J86CRRWF77,ADTRAN Holdings Inc,00486H105,US00486H1059,ADTN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,AEHR US Equity,AEHR,Aehr Test Systems,529900A4GWWZFRU2RE97,Aehr Test Systems,00760J108,US00760J1088,AEHR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,AEVA US Equity,AEVA,Aeva Technologies Inc,529900EOW3TB2FR95A21,Aeva Technologies Inc,00835Q202,US00835Q2021,AEVA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,AMAT US Equity,AMAT,Applied Materials Inc,41BNNE1AFPNAZELZ6K07,Applied Materials Inc,038222105,US0382221051,AMAT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,ASML US Equity,ASML,ASML Holding NV,724500Y6DUVHQD6OXN27,ASML Holding NV,N07059210,USN070592100,ASML,NL,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,AXTI US Equity,AXTI,AXT Inc,549300M2142IVLVIJN37,AXT Inc,00246W103,US00246W1036,AXTI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,CAMT US Equity,CAMT,Camtek Ltd/Israel,5493000H80W07HCKGS43,Camtek Ltd/Israel,M20791105,IL0010952641,CAMT,IL,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,CIEN US Equity,CIEN,Ciena Corp,W0CZ7N0GH8UIGXDM1H41,Ciena Corp,171779309,US1717793095,CIEN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUV,COHR US Equity,COHR,Coherent Corp,549300O5C25A0MMHHU33,Coherent Corp,19247G107,US19247G1076,COHR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
