holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ADT,ADT Inc,N/A,ADT Inc,00090Q103,US00090Q1031,ADT,8750.00000000,NS,USD,57312.50,1.88,Long,EC,CORP,US,N,1,N,N,N
AIOT,Powerfleet Inc NJ,2549007NKEFPYEH4MF81,Powerfleet Inc NJ,73931J109,US73931J1097,AIOT,7650.00000000,NS,USD,28993.50,0.95,Long,EC,CORP,US,N,1,N,N,N
AXON,Axon Enterprise Inc,549300QP2IEEGFE16681,Axon Enterprise Inc,05464C101,US05464C1018,AXON,400.00000000,NS,USD,182692.00,6.00,Long,EC,CORP,US,N,1,N,N,N
BAH,Booz Allen Hamilton Holding Co,529900JPV47PIUWMA015,Booz Allen Hamilton Holding Corp,099502106,US0995021062,BAH,1225.00000000,NS,USD,76783.00,2.52,Long,EC,CORP,US,N,1,N,N,N
BBAI,BIGBEAR.AI HOLDINGS INC,549300XGCF2ELN28CS63,BIGBEAR.AI HOLDINGS INC,08975B109,US08975B1098,BBAI,12800.00000000,NS,USD,45056.00,1.48,Long,EC,CORP,US,N,1,N,N,N
BKSY,BlackSky Technology Inc,N/A,BlackSky Technology Inc,09263B207,US09263B2079,BKSY,1050.00000000,NS,USD,26470.50,0.87,Long,EC,CORP,US,N,1,N,N,N
CACI,CACI International Inc,SYRPI2D1O9WRTS2WX210,CACI International Inc,127190304,US1271903049,CACI,200.00000000,NS,USD,92408.00,3.03,Long,EC,CORP,US,N,1,N,N,N
CGNT,Cognyte Software Ltd,2549006L803IRJC67B33,Cognyte Software Ltd,N/A,IL0011691438,CGNT,3125.00000000,NS,USD,24937.50,0.82,Long,EC,CORP,IL,N,1,N,N,N
CLBT,Cellebrite DI Ltd,254900G03462YGP1IO36,Cellebrite DI Ltd,N/A,IL0011794802,CLBT,3800.00000000,NS,USD,48222.00,1.58,Long,EC,CORP,IL,N,1,N,N,N
DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,1200.00000000,NS,USD,267180.00,8.77,Long,EC,CORP,US,N,1,N,N,N
DGII,Digi International Inc,529900KG656HGROI4N27,Digi International Inc,253798102,US2537981027,DGII,850.00000000,NS,USD,57579.00,1.89,Long,EC,CORP,US,N,1,N,N,N
DT,Dynatrace Inc,6488T0Z33CE9L61EX904,Dynatrace Inc,268150109,US2681501092,DT,2950.00000000,NS,USD,119799.50,3.93,Long,EC,CORP,US,N,1,N,N,N
ESTC,Elastic NV,2549003I48WHHH937I59,Elastic NV,N/A,NL0013056914,ESTC,1550.00000000,NS,USD,91000.50,2.99,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,46373.20000000,NS,USD,46373.20,1.52,Long,STIV,RF,US,N,1,N,N,N
INVE,Identiv Inc,5299008KH3C585Z0DS77,Identiv Inc,45170X205,US45170X2053,INVE,3325.00000000,NS,USD,12269.25,0.40,Long,EC,CORP,US,N,1,N,N,N
IOT,Samsara Inc,529900IE80DQBIFK3M88,Samsara Inc,79589L106,US79589L1061,IOT,3400.00000000,NS,USD,106216.00,3.49,Long,EC,CORP,US,N,1,N,N,N
LDOS,Leidos Holdings Inc,549300IUTGTP6EJP8124,Leidos Holdings Inc,525327102,US5253271028,LDOS,900.00000000,NS,USD,93888.00,3.08,Long,EC,CORP,US,N,1,N,N,N
LHX,L3Harris Technologies Inc,549300UTE50ZMDBG8A20,L3Harris Technologies Inc,502431109,US5024311095,LHX,500.00000000,NS,USD,143635.00,4.71,Long,EC,CORP,US,N,1,N,N,N
MITK,Mitek Systems Inc,549300ABZAQ3R25XG118,Mitek Systems Inc,606710200,US6067102003,MITK,2150.00000000,NS,USD,37367.00,1.23,Long,EC,CORP,US,N,1,N,N,N
MSI,Motorola Solutions Inc,6S552MUG6KGJVEBSEC55,Motorola Solutions Inc,620076307,US6200763075,MSI,525.00000000,NS,USD,210315.00,6.90,Long,EC,CORP,US,N,1,N,N,N
NIQ,NIQ Global Intelligence Plc,529900Z0P0XAM4O3H416,NIQ Global Intelligence Plc,N/A,IE000JMT8VI3,NIQ,3400.00000000,NS,USD,27880.00,0.92,Long,EC,CORP,US,N,1,N,N,N
OSIS,OSI Systems Inc,DDX3MPX1Y8YD30050X33,OSI Systems Inc,671044105,US6710441055,OSIS,250.00000000,NS,USD,53430.00,1.75,Long,EC,CORP,US,N,1,N,N,N
PI,Impinj Inc,549300M26VGKSMMWWN17,Impinj Inc,453204109,US4532041096,PI,475.00000000,NS,USD,60790.50,2.00,Long,EC,CORP,US,N,1,N,N,N
PL,Planet Labs PBC,254900Q7PVI3HTQBRB44,Planet Labs PBC,72703X106,US72703X1063,PL,2500.00000000,NS,USD,65750.00,2.16,Long,EC,CORP,US,N,1,N,N,N
PLTR,Palantir Technologies Inc,549300UVN46B3BBDHO85,Palantir Technologies Inc,69608A108,US69608A1088,PLTR,3075.00000000,NS,USD,349012.50,11.46,Long,EC,CORP,US,N,1,N,N,N
RSKD,Riskified Ltd,894500GU19M0O0BYWM49,Riskified Ltd,N/A,IL0011786493,RSKD,5000.00000000,NS,USD,24400.00,0.80,Long,EC,CORP,IL,N,1,N,N,N
SAIL,SailPoint Inc,529900IRT8OM8CEOPC03,SailPoint Inc,78781J109,US78781J1097,SAIL,3075.00000000,NS,USD,38652.75,1.27,Long,EC,CORP,US,N,1,N,N,N
SATL,Satellogic Inc,5299009D26BMHHTAHA11,Satellogic Inc,80401C100,US80401C1009,SATL,4600.00000000,NS,USD,23184.00,0.76,Long,EC,CORP,US,N,1,N,N,N
SPIR,Spire Global Inc,549300EZFBLFFHJ5MF06,Spire Global Inc,848560306,US8485603067,SPIR,1550.00000000,NS,USD,26551.50,0.87,Long,EC,CORP,US,N,1,N,N,N
