name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
MercadoLibre Inc,549300DKPDN9M5S8GB14,MercadoLibre Inc,58733R102,US58733R1023,MELI,91.000000000000,NS,USD,183297.660000000000,1.8308218874,Long,EC,CORP,UY,N,1,N,N,N
Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,768.000000000000,NS,USD,104232.960000000000,1.0411043139,Long,EC,CORP,US,N,1,N,N,N
Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,846.000000000000,NS,USD,122466.960000000000,1.2232299684,Long,EC,CORP,US,N,1,N,N,N
Ares Management Corp,529900JUV61FH7B8VW38,Ares Management Corp,03990B101,US03990B1017,ARES,562.000000000000,NS,USD,90836.060000000000,0.9072927980,Long,EC,CORP,US,N,1,N,N,N
Capital One Financial Corp,ZUE8T73ROZOF6FLBAR73,Capital One Financial Corp,14040H105,US14040H1059,COF,1136.000000000000,NS,USD,275320.960000000000,2.7499731291,Long,EC,CORP,US,N,1,N,N,N
Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,Meta Platforms Inc,30303M102,US30303M1027,META,1580.000000000000,NS,USD,1042942.200000000000,10.4171619379,Long,EC,CORP,US,N,1,N,N,N
Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,1166.000000000000,NS,USD,92592.060000000000,0.9248321558,Long,EC,CORP,US,N,1,N,N,N
Credo Technology Group Holding,N/A,Credo Technology Group Holding Ltd,N/A,KYG254571055,CRDO,240.000000000000,NS,USD,34533.600000000000,0.3449300484,Long,EC,CORP,US,N,1,N,N,N
Super Micro Computer Inc,54930022CZO1N2UGVW07,Super Micro Computer Inc,86800U302,US86800U3023,SMCI,2.000000000000,NS,USD,58.540000000000,0.0005847118,Long,EC,CORP,US,N,1,N,N,N
Strategy Inc,549300WQTWEJUEHXQX21,Strategy Inc,594972408,US5949724083,MSTR,485.000000000000,NS,USD,73695.750000000000,0.7360911869,Long,EC,CORP,US,N,1,N,N,N
Palantir Technologies Inc,549300UVN46B3BBDHO85,Palantir Technologies Inc,69608A108,US69608A1088,PLTR,3683.000000000000,NS,USD,654653.250000000000,6.5388368775,Long,EC,CORP,US,N,1,N,N,N
Prologis Inc,529900DFH19P073LZ636,Prologis Inc,74340W103,US74340W1036,PLD,1696.000000000000,NS,USD,216511.360000000000,2.1625684516,Long,EC,CORP,US,N,1,N,N,N
Shopify Inc,549300HGQ43STJLLP808,Shopify Inc,82509L107,CA82509L1076,SHOP,2185.000000000000,NS,USD,351719.450000000000,3.5130599446,Long,EC,CORP,CA,N,1,N,N,N
VeriSign Inc,LMPL4N8ZOJRMF0KOF759,VeriSign Inc,92343E102,US92343E1029,VRSN,162.000000000000,NS,USD,39357.900000000000,0.3931163375,Long,EC,CORP,US,N,1,N,N,N
Waste Connections Inc,549300HDLRTPBQU69P29,Waste Connections Inc,94106B101,CA94106B1013,WCN,480.000000000000,NS,USD,84172.800000000000,0.8407385264,Long,EC,CORP,CA,N,1,N,N,N
Monolithic Power Systems Inc,529900TB7O85LSZ1XU31,Monolithic Power Systems Inc,609839105,US6098391054,MPWR,86.000000000000,NS,USD,77946.960000000000,0.7785533128,Long,EC,CORP,US,N,1,N,N,N
NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,5560.000000000000,NS,USD,1036940.000000000000,10.3572104954,Long,EC,CORP,US,N,1,N,N,N
ROBLOX Corp,529900ANZDBDFU91SO19,ROBLOX Corp,771049103,US7710491033,RBLX,1127.000000000000,NS,USD,91320.810000000000,0.9121345997,Long,EC,CORP,US,N,1,N,N,N
Steel Dynamics Inc,549300HGGKEL4FYTTQ83,Steel Dynamics Inc,858119100,US8581191009,STLD,240.000000000000,NS,USD,40668.000000000000,0.4062019369,Long,EC,CORP,US,N,1,N,N,N
Arista Networks Inc,635400H1WKBLOQERUU95,Arista Networks Inc,040413205,US0404132054,ANET,1818.000000000000,NS,USD,238212.540000000000,2.3793251484,Long,EC,CORP,US,N,1,N,N,N
Axon Enterprise Inc,549300QP2IEEGFE16681,Axon Enterprise Inc,05464C101,US05464C1018,AXON,124.000000000000,NS,USD,70423.320000000000,0.7034053552,Long,EC,CORP,US,N,1,N,N,N
Cloudflare Inc,5493007DY18BGNLDWU14,Cloudflare Inc,18915M107,US18915M1071,NET,568.000000000000,NS,USD,111981.200000000000,1.1184956313,Long,EC,CORP,US,N,1,N,N,N
CoreWeave Inc,984500511DP2B6186053,CoreWeave Inc,21873S108,US21873S1087,CRWV,402.000000000000,NS,USD,28787.220000000000,0.2875337986,Long,EC,CORP,US,N,1,N,N,N
Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,2153.000000000000,NS,USD,968247.160000000000,9.6710895979,Long,EC,CORP,US,N,1,N,N,N
Trade Desk Inc/The,549300GXPD31VT3E0P46,Trade Desk Inc/The,88339J105,US88339J1051,TTD,2.000000000000,NS,USD,75.920000000000,0.0007583075,Long,EC,CORP,US,N,1,N,N,N
Zoom Communications Inc,549300T9GCHU0ODOM055,Zoom Communications Inc,98980L101,US98980L1017,ZM,483.000000000000,NS,USD,41678.070000000000,0.4162907632,Long,EC,CORP,US,N,1,N,N,N
AppLovin Corp,549300LLVXMUAOL3SQ07,AppLovin Corp,03831W108,US03831W1080,APP,454.000000000000,NS,USD,305914.280000000000,3.0555466965,Long,EC,CORP,US,N,1,N,N,N
Atlassian Corp,549300V7ZY5P02D2MY38,Atlassian Corp,049468101,US0494681010,TEAM,322.000000000000,NS,USD,52209.080000000000,0.5214770684,Long,EC,CORP,AU,N,1,N,N,N
Crowdstrike Holdings Inc,549300YBY08K9KM4HX32,Crowdstrike Holdings Inc,22788C105,US22788C1053,CRWD,455.000000000000,NS,USD,213285.800000000000,2.1303507689,Long,EC,CORP,US,N,1,N,N,N
Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,568.000000000000,NS,USD,77242.320000000000,0.7715151961,Long,EC,CORP,US,N,1,N,N,N
HubSpot Inc,529900BLNVEW0MVKJB37,HubSpot Inc,443573100,US4435731009,HUBS,2.000000000000,NS,USD,802.600000000000,0.0080165652,Long,EC,CORP,US,N,1,N,N,N
Intercontinental Exchange Inc,5493000F4ZO33MV32P92,Intercontinental Exchange Inc,45866F104,US45866F1049,ICE,1050.000000000000,NS,USD,170058.000000000000,1.6985809231,Long,EC,CORP,US,N,1,N,N,N
MSCI Inc,549300HTIN2PD78UB763,MSCI Inc,55354G100,US55354G1004,MSCI,5.000000000000,NS,USD,2868.650000000000,0.0286527783,Long,EC,CORP,US,N,1,N,N,N
Pure Storage Inc,549300NPDB0BZTK3WO90,Pure Storage Inc,74624M102,US74624M1027,PSTG,563.000000000000,NS,USD,37726.630000000000,0.3768228135,Long,EC,CORP,US,N,1,N,N,N
Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,1332.000000000000,NS,USD,150649.200000000000,1.5047210787,Long,EC,CORP,US,N,1,N,N,N
Spotify Technology SA,549300B4X0JHWV0DTD60,Spotify Technology SA,N/A,LU1778762911,SPOT,292.000000000000,NS,USD,169567.320000000000,1.6936798912,Long,EC,CORP,SE,N,1,N,N,N
Blackstone Inc,5299004LW4QWGZUB8Y96,Blackstone Inc,09260D107,US09260D1072,BX,1374.000000000000,NS,USD,211788.360000000000,2.1153939717,Long,EC,CORP,US,N,1,N,N,N
CoStar Group Inc,984500Q1D53D08E2E698,CoStar Group Inc,22160N109,US22160N1090,CSGP,763.000000000000,NS,USD,51304.120000000000,0.5124381065,Long,EC,CORP,US,N,1,N,N,N
Regeneron Pharmaceuticals Inc,549300RCBFWIRX3HYQ56,Regeneron Pharmaceuticals Inc,75886F107,US75886F1075,REGN,169.000000000000,NS,USD,130446.030000000000,1.3029268723,Long,EC,CORP,US,N,1,N,N,N
Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,964.000000000000,NS,USD,62746.760000000000,0.6267299952,Long,EC,CORP,US,N,1,N,N,N
Veeva Systems Inc,549300YZEXPDB92M2F02,Veeva Systems Inc,922475108,US9224751084,VEEV,285.000000000000,NS,USD,63620.550000000000,0.6354576236,Long,EC,CORP,US,N,1,N,N,N
NU Holdings Ltd/Cayman Islands,5493002DG1RHWK9W2X27,NU Holdings Ltd/Cayman Islands,N/A,KYG6683N1034,NU,6527.000000000000,NS,USD,109261.980000000000,1.0913353965,Long,EC,CORP,BR,N,1,N,N,N
Carvana Co,5493003WEAK2PJ5WS063,Carvana Co,146869102,US1468691027,CVNA,404.000000000000,NS,USD,170496.080000000000,1.7029565734,Long,EC,CORP,US,N,1,N,N,N
Coupang Inc,549300XR4L1D80AK4W76,Coupang Inc,22266T109,US22266T1097,CPNG,2443.000000000000,NS,USD,57630.370000000000,0.5756262397,Long,EC,CORP,US,N,1,N,N,N
DoorDash Inc,549300NUQ43FGGSK5051,DoorDash Inc,25809K105,US25809K1051,DASH,689.000000000000,NS,USD,156044.720000000000,1.5586128529,Long,EC,CORP,US,N,1,N,N,N
Salesforce Inc,RCGZFPDMRW58VJ54VR07,Salesforce Inc,79466L302,US79466L3024,CRM,1709.000000000000,NS,USD,452731.190000000000,4.5219899248,Long,EC,CORP,US,N,1,N,N,N
Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,300.000000000000,NS,USD,321102.000000000000,3.2072453609,Long,EC,CORP,US,N,1,N,N,N
Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,367.000000000000,NS,USD,82993.380000000000,0.8289581908,Long,EC,CORP,US,N,1,N,N,N
Dell Technologies Inc,549300TJB5YBRUPOG437,Dell Technologies Inc,24703L202,US24703L2025,DELL,564.000000000000,NS,USD,70996.320000000000,0.7091286194,Long,EC,CORP,US,N,1,N,N,N
Snowflake Inc,254900CJNSY1K7T53Z16,Snowflake Inc,833445109,US8334451098,SNOW,612.000000000000,NS,USD,134248.320000000000,1.3409050754,Long,EC,CORP,US,N,1,N,N,N
Oracle Corp,1Z4GXXU7ZHVWFCD8TV52,Oracle Corp,68389X105,US68389X1054,ORCL,2883.000000000000,NS,USD,561925.530000000000,5.6126497164,Long,EC,CORP,US,N,1,N,N,N
Reddit Inc,529900APN1YHPBHPI679,Reddit Inc,75734B100,US75734B1008,RDDT,242.000000000000,NS,USD,55628.540000000000,0.5556314718,Long,EC,CORP,US,N,1,N,N,N
Rocket Lab Corp,N/A,Rocket Lab Corp,773121108,US7731211089,RKLB,722.000000000000,NS,USD,50366.720000000000,0.5030751259,Long,EC,CORP,US,N,1,N,N,N
Zscaler Inc,529900MZ0RTK1BWRNF46,Zscaler Inc,98980G102,US98980G1022,ZS,200.000000000000,NS,USD,44984.000000000000,0.4493112012,Long,EC,CORP,US,N,1,N,N,N
