holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,AbbVie Inc,00287Y109,US00287Y1091,ABBV,869.00000000,NS,USD,204119.41,13.78,Long,EC,CORP,US,N,1,N,N,N
AIRS,AirSculpt Technologies Inc,N/A,AirSculpt Technologies Inc,009496100,US0094961002,AIRS,6710.00000000,NS,USD,30496.95,2.06,Long,EC,CORP,US,N,1,N,N,N
ALGN,Align Technology Inc,549300N5YSE0U3LCP840,Align Technology Inc,016255101,US0162551016,ALGN,374.00000000,NS,USD,63916.60,4.32,Long,EC,CORP,US,N,1,N,N,N
ATR,AptarGroup Inc,VNPEQDQFAA7IY1T2PX43,AptarGroup Inc,038336103,US0383361039,ATR,517.00000000,NS,USD,64252.76,4.34,Long,EC,CORP,US,N,1,N,N,N
BBWI,Bath & Body Works Inc,GR3KVMWVCR54YWQNXU90,Bath & Body Works Inc,070830104,US0708301041,BBWI,2640.00000000,NS,USD,57578.40,3.89,Long,EC,CORP,US,N,1,N,N,N
CL,Colgate-Palmolive Co,YMEGZFW4SBUSS5BQXF88,Colgate-Palmolive Co,194162103,US1941621039,CL,1309.00000000,NS,USD,120270.92,8.12,Long,EC,CORP,US,N,1,N,N,N
COTY,Coty Inc,549300BO9IWPF3S48F93,Coty Inc,222070203,US2220702037,COTY,14740.00000000,NS,USD,28743.00,1.94,Long,EC,CORP,US,N,1,N,N,N
EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,913.00000000,NS,USD,76025.51,5.13,Long,EC,CORP,US,N,1,N,N,N
ELF,elf Beauty Inc,549300U2K9TCON25C029,elf Beauty Inc,26856L103,US26856L1035,ELF,792.00000000,NS,USD,51115.68,3.45,Long,EC,CORP,US,N,1,N,N,N
EOLS,Evolus Inc,549300VYQRYBQOT8V419,Evolus Inc,30052C107,US30052C1071,EOLS,7233.00000000,NS,USD,50414.01,3.40,Long,EC,CORP,US,N,1,N,N,N
EPC,Edgewell Personal Care Co,549300CY8QZDL4Z3RU59,Edgewell Personal Care Co,28035Q102,US28035Q1022,EPC,1628.00000000,NS,USD,43272.24,2.92,Long,EC,CORP,US,N,1,N,N,N
ESTA,Establishment Labs Holdings In,549300BCBQ714JNJ7V58,Establishment Labs Holdings Inc,N/A,VGG312491084,ESTA,638.00000000,NS,USD,55639.98,3.76,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,48345.85000000,NS,USD,48345.85,3.26,Long,STIV,RF,US,N,1,N,N,N
HELE,Helen of Troy Ltd,N/A,Helen of Troy Ltd,N/A,BMG4388N1065,HELE,1232.00000000,NS,USD,34397.44,2.32,Long,EC,CORP,US,N,1,N,N,N
HIMS,Hims & Hers Health Inc,254900V041EIVTSB6D58,Hims & Hers Health Inc,433000106,US4330001060,HIMS,2318.00000000,NS,USD,75798.60,5.12,Long,EC,CORP,US,N,1,N,N,N
HNST,Honest Co Inc/The,N/A,Honest Co Inc/The,438333106,US4383331067,HNST,7821.00000000,NS,USD,28859.49,1.95,Long,EC,CORP,US,N,1,N,N,N
IFF,International Flavors & Fragra,BZLRL03D3GPGMOGFO832,International Flavors & Fragrances Inc,459506101,US4595061015,IFF,1001.00000000,NS,USD,75905.83,5.13,Long,EC,CORP,US,N,1,N,N,N
INMD,Inmode Ltd,984500DD95A35E9BD358,Inmode Ltd,N/A,IL0011595993,INMD,2486.00000000,NS,USD,36767.94,2.48,Long,EC,CORP,IL,N,1,N,N,N
IPAR,Interparfums Inc,N/A,Interparfums Inc,458334109,US4583341098,IPAR,473.00000000,NS,USD,49310.25,3.33,Long,EC,CORP,US,N,1,N,N,N
KVUE,Kenvue Inc,5493008HSF8L4M2LIJ82,Kenvue Inc,49177J102,US49177J1025,KVUE,4070.00000000,NS,USD,76516.00,5.17,Long,EC,CORP,US,N,1,N,N,N
NUS,Nu Skin Enterprises Inc,54930050DETB6CP71D38,Nu Skin Enterprises Inc,67018T105,US67018T1051,NUS,3872.00000000,NS,USD,19785.92,1.34,Long,EC,CORP,US,N,1,N,N,N
ODD,Oddity Tech Ltd,254900QH12XZS53G0V57,Oddity Tech Ltd,N/A,IL0011974909,ODD,2079.00000000,NS,USD,26756.73,1.81,Long,EC,CORP,IL,N,1,N,N,N
OLPX,Olaplex Holdings Inc,N/A,Olaplex Holdings Inc,679369108,US6793691089,OLPX,12386.00000000,NS,USD,25267.44,1.71,Long,EC,CORP,US,N,1,N,N,N
SBH,Sally Beauty Holdings Inc,529900VXW6E8ONDIQ271,Sally Beauty Holdings Inc,79546E104,US79546E1047,SBH,2772.00000000,NS,USD,39695.04,2.68,Long,EC,CORP,US,N,1,N,N,N
ULTA,ULTA BEAUTY INC,529900CIV6HN8M28YM82,ULTA BEAUTY INC,90384S303,US90384S3031,ULTA,147.00000000,NS,USD,70402.71,4.75,Long,EC,CORP,US,N,1,N,N,N
USNA,USANA Health Sciences Inc,549300YTURXE814MAH96,USANA Health Sciences Inc,90328M107,US90328M1071,USNA,1320.00000000,NS,USD,26320.80,1.78,Long,EC,CORP,US,N,1,N,N,N
