Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
GLAM,ABBV US Equity,ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,AbbVie Inc,00287Y109,US00287Y1091,ABBV,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,AIRS US Equity,AIRS,AirSculpt Technologies Inc,N/A,AirSculpt Technologies Inc,009496100,US0094961002,AIRS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,ALGN US Equity,ALGN,Align Technology Inc,549300N5YSE0U3LCP840,Align Technology Inc,016255101,US0162551016,ALGN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,ATR US Equity,ATR,AptarGroup Inc,VNPEQDQFAA7IY1T2PX43,AptarGroup Inc,038336103,US0383361039,ATR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,BBWI US Equity,BBWI,Bath & Body Works Inc,GR3KVMWVCR54YWQNXU90,Bath & Body Works Inc,070830104,US0708301041,BBWI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,CL US Equity,CL,Colgate-Palmolive Co,YMEGZFW4SBUSS5BQXF88,Colgate-Palmolive Co,194162103,US1941621039,CL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,COTY US Equity,COTY,Coty Inc,549300BO9IWPF3S48F93,Coty Inc,222070203,US2220702037,COTY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,EL US Equity,EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,ELF US Equity,ELF,elf Beauty Inc,549300U2K9TCON25C029,elf Beauty Inc,26856L103,US26856L1035,ELF,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAM,EOLS US Equity,EOLS,Evolus Inc,549300VYQRYBQOT8V419,Evolus Inc,30052C107,US30052C1071,EOLS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
