holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,1292.00000000,NS,USD,302676.84,10.94,Long,EC,CORP,US,N,1,N,N,N
ASC,Ardmore Shipping Corp,549300J8HD7K6BHD8O28,Ardmore Shipping Corp,N/A,MHY0207T1001,ASC,1862.00000000,NS,USD,31542.28,1.14,Long,EC,CORP,IE,N,1,N,N,N
CHRW,CH Robinson Worldwide Inc,529900WNWN5L0OVDHA79,CH Robinson Worldwide Inc,12541W209,US12541W2098,CHRW,475.00000000,NS,USD,84208.00,3.04,Long,EC,CORP,US,N,1,N,N,N
CMBT,CMB Tech NV,549300D80RYON74MEJ03,CMB Tech NV,N/A,BE0003816338,CMBT,3116.00000000,NS,USD,48173.36,1.74,Long,EC,CORP,BE,N,1,N,N,N
CMRE,Costamare Inc,5299003L6NPTZ25LN818,Costamare Inc,N/A,MHY1771G1026,CMRE,1957.00000000,NS,USD,29491.99,1.07,Long,EC,CORP,MC,N,1,N,N,N
DAC,Danaos Corp,734IM3DNDNT36T7YTD24,Danaos Corp,N/A,MHY1968P1218,DAC,304.00000000,NS,USD,38088.16,1.38,Long,EC,CORP,GR,N,1,N,N,N
DHT,DHT Holdings Inc,549300SMD6IVZYT74K40,DHT Holdings Inc,N/A,MHY2065G1219,DHT,2641.00000000,NS,USD,51208.99,1.85,Long,EC,CORP,BM,N,1,N,N,N
DSGX,Descartes Systems Group Inc/Th,875500NEPA7JI5EOMN45,Descartes Systems Group Inc/The,249906108,CA2499061083,DSGX,855.00000000,NS,USD,57943.35,2.10,Long,EC,CORP,CA,N,1,N,N,N
DSX,Diana Shipping Inc,549300XD7FHNJ0THIV12,Diana Shipping Inc,N/A,MHY2066G1044,DSX,9044.00000000,NS,USD,18630.64,0.67,Long,EC,CORP,GR,N,1,N,N,N
EE,Excelerate Energy Inc,254900J6DPU4HB368I65,Excelerate Energy Inc,30069T101,US30069T1016,EE,988.00000000,NS,USD,35271.60,1.28,Long,EC,CORP,US,N,1,N,N,N
ESEA,Euroseas Ltd,213800ADWWZOFC9KU444,Euroseas Ltd,N/A,MHY235921357,ESEA,380.00000000,NS,USD,25938.80,0.94,Long,EC,CORP,GR,N,1,N,N,N
EXPD,Expeditors International of Wa,984500B055A804AB6E40,Expeditors International of Washington Inc,302130109,US3021301094,EXPD,570.00000000,NS,USD,91291.20,3.30,Long,EC,CORP,US,N,1,N,N,N
FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,342.00000000,NS,USD,108355.86,3.92,Long,EC,CORP,US,N,1,N,N,N
FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,171.00000000,NS,USD,27436.95,0.99,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,59113.32000000,NS,USD,59113.32,2.14,Long,STIV,RF,US,N,1,N,N,N
FLNG,FLEX LNG Ltd,21380084THHU3MPC3647,FLEX LNG Ltd,N/A,BMG359472021,FLNG,1140.00000000,NS,USD,34724.40,1.26,Long,EC,CORP,BM,N,1,N,N,N
FRO,Frontline PLC,5493004BCIKYU1YL3H63,Frontline PLC,N/A,CY0200352116,FRO,1634.00000000,NS,USD,66536.48,2.41,Long,EC,CORP,NO,N,1,N,N,N
GASS,StealthGas Inc,549300JCJUO3WBVVKJ89,StealthGas Inc,N/A,MHY816691064,GASS,2717.00000000,NS,USD,22632.61,0.82,Long,EC,CORP,GR,N,1,N,N,N
GLNG,Golar LNG Ltd,213800C2VSFZG3EZLO34,Golar LNG Ltd,N/A,BMG9456A1009,GLNG,1121.00000000,NS,USD,55859.43,2.02,Long,EC,CORP,BM,N,1,N,N,N
GNK,Genco Shipping & Trading Ltd,5493003MBZ5GU8QHXZ58,Genco Shipping & Trading Ltd,N/A,MHY2685T1313,GNK,1444.00000000,NS,USD,34887.04,1.26,Long,EC,CORP,US,N,1,N,N,N
GSL,Global Ship Lease Inc,254900GLZ0J5N8UZM071,Global Ship Lease Inc,N/A,MHY271836006,GSL,988.00000000,NS,USD,38225.72,1.38,Long,EC,CORP,GB,N,1,N,N,N
