Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
HULL,AMZN US Equity,AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,ASC US Equity,ASC,Ardmore Shipping Corp,549300J8HD7K6BHD8O28,Ardmore Shipping Corp,Y0207T100,MHY0207T1001,ASC,IE,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,CHRW US Equity,CHRW,CH Robinson Worldwide Inc,529900WNWN5L0OVDHA79,CH Robinson Worldwide Inc,12541W209,US12541W2098,CHRW,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,CMBT US Equity,CMBT,CMB Tech NV,549300D80RYON74MEJ03,CMB Tech NV,B38564108,BE0003816338,CMBT,BE,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,CMRE US Equity,CMRE,Costamare Inc,5299003L6NPTZ25LN818,Costamare Inc,Y1771G102,MHY1771G1026,CMRE,MC,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,DAC US Equity,DAC,Danaos Corp,734IM3DNDNT36T7YTD24,Danaos Corp,Y1968P121,MHY1968P1218,DAC,GR,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,DHT US Equity,DHT,DHT Holdings Inc,549300SMD6IVZYT74K40,DHT Holdings Inc,Y2065G121,MHY2065G1219,DHT,BM,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,DSGX US Equity,DSGX,Descartes Systems Group Inc/Th,875500NEPA7JI5EOMN45,Descartes Systems Group Inc/The,249906108,CA2499061083,DSGX,CA,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,DSX US Equity,DSX,Diana Shipping Inc,549300XD7FHNJ0THIV12,Diana Shipping Inc,Y2066G104,MHY2066G1044,DSX,GR,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,EE US Equity,EE,Excelerate Energy Inc,254900J6DPU4HB368I65,Excelerate Energy Inc,30069T101,US30069T1016,EE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,ESEA US Equity,ESEA,Euroseas Ltd,213800ADWWZOFC9KU444,Euroseas Ltd,Y23592135,MHY235921357,ESEA,GR,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,EXPD US Equity,EXPD,Expeditors International of Wa,984500B055A804AB6E40,Expeditors International of Washington Inc,302130109,US3021301094,EXPD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,FDX US Equity,FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,FDXF US Equity,FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,FLNG US Equity,FLNG,FLEX LNG Ltd,21380084THHU3MPC3647,FLEX LNG Ltd,G35947202,BMG359472021,FLNG,BM,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,FRO US Equity,FRO,Frontline PLC,5493004BCIKYU1YL3H63,Frontline PLC,M46528101,CY0200352116,FRO,NO,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,GASS US Equity,GASS,StealthGas Inc,549300JCJUO3WBVVKJ89,StealthGas Inc,Y81669106,MHY816691064,GASS,GR,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,GLNG US Equity,GLNG,Golar LNG Ltd,213800C2VSFZG3EZLO34,Golar LNG Ltd,G9456A100,BMG9456A1009,GLNG,BM,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,GNK US Equity,GNK,Genco Shipping & Trading Ltd,5493003MBZ5GU8QHXZ58,Genco Shipping & Trading Ltd,Y2685T131,MHY2685T1313,GNK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULL,GSL US Equity,GSL,Global Ship Lease Inc,254900GLZ0J5N8UZM071,Global Ship Lease Inc,Y27183600,MHY271836006,GSL,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
