holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACA,Arcosa Inc,549300WFHLTCZV7D6V29,Arcosa Inc,039653100,US0396531008,ACA,3780.00000000,NS,USD,545605.20,4.64,Long,EC,CORP,US,N,1,N,N,N
AEIS,Advanced Energy Industries Inc,549300756XI3QLFT2U27,Advanced Energy Industries Inc,007973100,US0079731008,AEIS,1440.00000000,NS,USD,517838.40,4.40,Long,EC,CORP,US,N,1,N,N,N
AMSC,American Superconductor Corp,549300S9YT8Z8LOK4452,American Superconductor Corp,030111207,US0301112076,AMSC,6390.00000000,NS,USD,261031.50,2.22,Long,EC,CORP,US,N,1,N,N,N
ATKR,Atkore Inc,52990002TI38AM4RPV48,Atkore Inc,047649108,US0476491081,ATKR,4500.00000000,NS,USD,350505.00,2.98,Long,EC,CORP,US,N,1,N,N,N
DY,Dycom Industries Inc,549300F56EKTHQI3WT60,Dycom Industries Inc,267475101,US2674751019,DY,1350.00000000,NS,USD,652698.00,5.55,Long,EC,CORP,US,N,1,N,N,N
ESE,ESCO Technologies Inc,5493007JJLP5MEWVDH10,ESCO Technologies Inc,296315104,US2963151046,ESE,1620.00000000,NS,USD,561346.20,4.77,Long,EC,CORP,US,N,1,N,N,N
ETN,Eaton Corp PLC,549300VDIGTMXUNT7H71,Eaton Corp PLC,N/A,IE00B8KQN827,ETN,3420.00000000,NS,USD,1383697.80,11.77,Long,EC,CORP,IE,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,179838.73000000,NS,USD,179838.73,1.53,Long,STIV,RF,US,N,1,N,N,N
FPS,Forgent Power Solutions Inc,529900VOEJB5GLOFQR48,Forgent Power Solutions Inc,34631F102,US34631F1021,FPS,10800.00000000,NS,USD,649296.00,5.52,Long,EC,CORP,US,N,1,N,N,N
GEV,GE Vernova Inc,254900DP080RU6OK2553,GE Vernova Inc,36828A101,US36828A1016,GEV,1530.00000000,NS,USD,1618204.50,13.76,Long,EC,CORP,US,N,1,N,N,N
HUBB,Hubbell Inc,54930088VDQ6840Y6597,Hubbell Inc,443510607,US4435106079,HUBB,990.00000000,NS,USD,512998.20,4.36,Long,EC,CORP,US,N,1,N,N,N
ITRI,Itron Inc,24F6LSZD18II6ICG6S41,Itron Inc,465741106,US4657411066,ITRI,4770.00000000,NS,USD,389279.70,3.31,Long,EC,CORP,US,N,1,N,N,N
MTZ,MasTec Inc,549300TMDIT8WREDOF45,MasTec Inc,576323109,US5763231090,MTZ,1440.00000000,NS,USD,566121.60,4.81,Long,EC,CORP,US,N,1,N,N,N
MYRG,MYR Group Inc,529900G1IMMZHOQ17I54,MYR Group Inc,55405W104,US55405W1045,MYRG,1260.00000000,NS,USD,592300.80,5.04,Long,EC,CORP,US,N,1,N,N,N
NVT,nVent Electric PLC,N/A,nVent Electric PLC,N/A,IE00BDVJJQ56,NVT,3870.00000000,NS,USD,648418.50,5.51,Long,EC,CORP,GB,N,1,N,N,N
PLPC,Preformed Line Products Co,549300EYH53XDJID2098,Preformed Line Products Co,740444104,US7404441047,PLPC,720.00000000,NS,USD,276703.20,2.35,Long,EC,CORP,US,N,1,N,N,N
POWL,Powell Industries Inc,549300V08RO7MX2UBN26,Powell Industries Inc,739128106,US7391281067,POWL,1800.00000000,NS,USD,530082.00,4.51,Long,EC,CORP,US,N,1,N,N,N
PRIM,Primoris Services Corp,549300UF3OLBJ8D5K349,Primoris Services Corp,74164F103,US74164F1030,PRIM,3060.00000000,NS,USD,283631.40,2.41,Long,EC,CORP,US,N,1,N,N,N
PWR,Quanta Services Inc,SHVRXXEACT60MMH07S24,Quanta Services Inc,74762E102,US74762E1029,PWR,900.00000000,NS,USD,631692.00,5.37,Long,EC,CORP,US,N,1,N,N,N
VMI,Valmont Industries Inc,5493009ZGZJJ8F77JN08,Valmont Industries Inc,920253101,US9202531011,VMI,1080.00000000,NS,USD,608482.80,5.17,Long,EC,CORP,US,N,1,N,N,N
