holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AFRM,Affirm Holdings Inc,529900LZI7FSF8IS2V41,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,432.00000000,NS,USD,33549.12,2.38,Long,EC,CORP,US,N,1,N,N,N
ALLY,Ally Financial Inc,549300JBN1OSM8YNAI90,Ally Financial Inc,02005N100,US02005N1000,ALLY,588.00000000,NS,USD,26789.28,1.90,Long,EC,CORP,US,N,1,N,N,N
BILL,BILL Holdings Inc,549300IBF9VZZIGOZW63,BILL Holdings Inc,090043100,US0900431000,BILL,432.00000000,NS,USD,14454.72,1.02,Long,EC,CORP,US,N,1,N,N,N
BR,Broadridge Financial Solutions,549300KZDJZQ2YIHRC28,Broadridge Financial Solutions Inc,11133T103,US11133T1034,BR,216.00000000,NS,USD,30261.60,2.14,Long,EC,CORP,US,N,1,N,N,N
CHYM,Chime Financial Inc,N/A,Chime Financial Inc,16935C109,US16935C1099,CHYM,852.00000000,NS,USD,14807.76,1.05,Long,EC,CORP,US,N,1,N,N,N
COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,216.00000000,NS,USD,32423.76,2.30,Long,EC,CORP,US,N,1,N,N,N
CPAY,Corpay Inc,549300DG6RR0NQSFLN74,Corpay Inc,219948106,US2199481068,CPAY,108.00000000,NS,USD,37180.08,2.63,Long,EC,CORP,US,N,1,N,N,N
CRCL,Circle Internet Group Inc,254900HFVVR6NPMQVN93,Circle Internet Group Inc,172573107,US1725731079,CRCL,336.00000000,NS,USD,23849.28,1.69,Long,EC,CORP,US,N,1,N,N,N
DAVE,Dave Inc,25490061SUVXCW51RZ82,Dave Inc,23834J201,US23834J2015,DAVE,48.00000000,NS,USD,15514.56,1.10,Long,EC,CORP,US,N,1,N,N,N
DLO,Dlocal Ltd/Uruguay,529900D15DJKVN3RCO35,Dlocal Ltd/Uruguay,N/A,KYG290181018,DLO,768.00000000,NS,USD,9431.04,0.67,Long,EC,CORP,UY,N,1,N,N,N
EFX,Equifax Inc,5493004MCF8JDC86VS77,Equifax Inc,294429105,US2944291051,EFX,204.00000000,NS,USD,32152.44,2.28,Long,EC,CORP,US,N,1,N,N,N
ETOR,Etoro Group Ltd,213800XPRPJK2X5QRG86,Etoro Group Ltd,N/A,VGG320891077,ETOR,324.00000000,NS,USD,11835.72,0.84,Long,EC,CORP,IL,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,7884.83000000,NS,USD,7884.83,0.56,Long,STIV,RF,US,N,1,N,N,N
FICO,Fair Isaac Corp,RI6HET5SJUEY30V1PS26,Fair Isaac Corp,303250104,US3032501047,FICO,36.00000000,NS,USD,41052.24,2.91,Long,EC,CORP,US,N,1,N,N,N
FIS,Fidelity National Information ,6WQI0GK1PRFVBA061U48,Fidelity National Information Services Inc,31620M106,US31620M1062,FIS,792.00000000,NS,USD,30618.72,2.17,Long,EC,CORP,US,N,1,N,N,N
FISV,Fiserv Inc,GI7UBEJLXYLGR2C7GV83,Fiserv Inc,337738108,US3377381088,FISV,624.00000000,NS,USD,30070.56,2.13,Long,EC,CORP,US,N,1,N,N,N
FLYW,Flywire Corp,54930055DSV7NNY4VY66,Flywire Corp,302492103,US3024921039,FLYW,792.00000000,NS,USD,13099.68,0.93,Long,EC,CORP,US,N,1,N,N,N
