Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
KYC,AFRM US Equity,AFRM,Affirm Holdings Inc,529900LZI7FSF8IS2V41,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,ALLY US Equity,ALLY,Ally Financial Inc,549300JBN1OSM8YNAI90,Ally Financial Inc,02005N100,US02005N1000,ALLY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,BILL US Equity,BILL,BILL Holdings Inc,549300IBF9VZZIGOZW63,BILL Holdings Inc,090043100,US0900431000,BILL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,BR US Equity,BR,Broadridge Financial Solutions,549300KZDJZQ2YIHRC28,Broadridge Financial Solutions Inc,11133T103,US11133T1034,BR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,CHYM US Equity,CHYM,Chime Financial Inc,N/A,Chime Financial Inc,16935C109,US16935C1099,CHYM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,COIN US Equity,COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,CPAY US Equity,CPAY,Corpay Inc,549300DG6RR0NQSFLN74,Corpay Inc,219948106,US2199481068,CPAY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,CRCL US Equity,CRCL,Circle Internet Group Inc,254900HFVVR6NPMQVN93,Circle Internet Group Inc,172573107,US1725731079,CRCL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,DAVE US Equity,DAVE,Dave Inc,25490061SUVXCW51RZ82,Dave Inc,23834J201,US23834J2015,DAVE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYC,DLO US Equity,DLO,Dlocal Ltd/Uruguay,529900D15DJKVN3RCO35,Dlocal Ltd/Uruguay,G29018101,KYG290181018,DLO,UY,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
