holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AFRM,Affirm Holdings Inc,529900LZI7FSF8IS2V41,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,1152.00000000,NS,USD,89464.32,5.70,Long,EC,CORP,US,N,1,N,N,N
BFH,Bread Financial Holdings Inc,549300G8S4PO686J7H97,Bread Financial Holdings Inc,018581108,US0185811082,BFH,708.00000000,NS,USD,74276.28,4.74,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,12582.77000000,NS,USD,12582.77,0.80,Long,STIV,RF,US,N,1,N,N,N
FINV,FinVolution Group,3003000RAVUT809U6P08,FinVolution Group,31810T101,US31810T1016,FINV,10164.00000000,NS,USD,49295.40,3.14,Long,EC,CORP,CN,N,1,N,N,N
KLAR,Klarna Group PLC,636700HER4JIK7GZUN17,Klarna Group PLC,N/A,GB00BMHVL512,KLAR,4656.00000000,NS,USD,85623.84,5.46,Long,EC,CORP,GB,N,1,N,N,N
KSPI,Kaspi.KZ JSC,2549003YU6FARG8OAZ13,Kaspi.KZ JSC,48581R205,US48581R2058,KSPI,660.00000000,NS,USD,56628.00,3.61,Long,EC,CORP,KZ,N,1,N,N,N
MA,Mastercard Inc,AR5L2ODV9HN37376R084,Mastercard Inc,57636Q104,US57636Q1040,MA,384.00000000,NS,USD,189853.44,12.10,Long,EC,CORP,US,N,1,N,N,N
MELI,MercadoLibre Inc,549300DKPDN9M5S8GB14,MercadoLibre Inc,58733R102,US58733R1023,MELI,36.00000000,NS,USD,59744.52,3.81,Long,EC,CORP,UY,N,1,N,N,N
MITK,Mitek Systems Inc,549300ABZAQ3R25XG118,Mitek Systems Inc,606710200,US6067102003,MITK,1224.00000000,NS,USD,21273.12,1.36,Long,EC,CORP,US,N,1,N,N,N
MQ,Marqeta Inc,254900UZARK0FMZGZE18,Marqeta Inc,57142B104,US57142B2034,MQ,12432.00000000,NS,USD,49355.04,3.15,Long,EC,CORP,US,N,1,N,N,N
NU,NU Holdings Ltd/Cayman Islands,5493002DG1RHWK9W2X27,NU Holdings Ltd/Cayman Islands,N/A,KYG6683N1034,NU,5088.00000000,NS,USD,63396.48,4.04,Long,EC,CORP,BR,N,1,N,N,N
OMF,OneMain Holdings Inc,549300E3VEW8SMS5XW09,OneMain Holdings Inc,68268W103,US68268W1036,OMF,720.00000000,NS,USD,42177.60,2.69,Long,EC,CORP,US,N,1,N,N,N
OPFI,OppFi Inc,N/A,OppFi Inc,68386H103,US68386H1032,OPFI,1236.00000000,NS,USD,10876.80,0.69,Long,EC,CORP,US,N,1,N,N,N
PGY,Pagaya Technologies Ltd,N/A,Pagaya Technologies Ltd,N/A,IL0011858912,PGY,1452.00000000,NS,USD,22070.40,1.41,Long,EC,CORP,US,N,1,N,N,N
PYPL,PayPal Holdings Inc,5493005X2GO78EFZ3E94,PayPal Holdings Inc,70450Y103,US70450Y1038,PYPL,1464.00000000,NS,USD,62190.72,3.97,Long,EC,CORP,US,N,1,N,N,N
SE,Sea Ltd,529900OM6JLLW44YKI15,Sea Ltd,81141R100,US81141R1005,SE,864.00000000,NS,USD,80136.00,5.11,Long,EC,CORP,SG,N,1,N,N,N
SEZL,Sezzle Inc,9845000CA64541AE3I35,Sezzle Inc,78435P105,US78435P1057,SEZL,636.00000000,NS,USD,101295.72,6.46,Long,EC,CORP,US,N,1,N,N,N
SHOP,Shopify Inc,549300HGQ43STJLLP808,Shopify Inc,82509L107,CA82509L1076,SHOP,588.00000000,NS,USD,67131.96,4.28,Long,EC,CORP,CA,N,1,N,N,N
SYF,Synchrony Financial,549300RS7EWPM9MA6C78,Synchrony Financial,87165B103,US87165B1035,SYF,972.00000000,NS,USD,74183.04,4.73,Long,EC,CORP,US,N,1,N,N,N
UPST,Upstart Holdings Inc,549300WNB47JRNENIC75,Upstart Holdings Inc,91680M107,US91680M1071,UPST,1704.00000000,NS,USD,55635.60,3.55,Long,EC,CORP,US,N,1,N,N,N
V,Visa Inc,549300JZ4OKEHW3DPJ59,Visa Inc,92826C839,US92826C8394,V,672.00000000,NS,USD,223258.56,14.23,Long,EC,CORP,US,N,1,N,N,N
XYZ,Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,1032.00000000,NS,USD,78101.76,4.98,Long,EC,CORP,US,N,1,N,N,N
