Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
LATR,AFRM US Equity,AFRM,Affirm Holdings Inc,529900LZI7FSF8IS2V41,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,BFH US Equity,BFH,Bread Financial Holdings Inc,549300G8S4PO686J7H97,Bread Financial Holdings Inc,018581108,US0185811082,BFH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,FINV US Equity,FINV,FinVolution Group,3003000RAVUT809U6P08,FinVolution Group,31810T101,US31810T1016,FINV,CN,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,KLAR US Equity,KLAR,Klarna Group PLC,636700HER4JIK7GZUN17,Klarna Group PLC,G5279N105,GB00BMHVL512,KLAR,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,KSPI US Equity,KSPI,Kaspi.KZ JSC,2549003YU6FARG8OAZ13,Kaspi.KZ JSC,48581R205,US48581R2058,KSPI,KZ,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,MA US Equity,MA,Mastercard Inc,AR5L2ODV9HN37376R084,Mastercard Inc,57636Q104,US57636Q1040,MA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,MELI US Equity,MELI,MercadoLibre Inc,549300DKPDN9M5S8GB14,MercadoLibre Inc,58733R102,US58733R1023,MELI,UY,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,MITK US Equity,MITK,Mitek Systems Inc,549300ABZAQ3R25XG118,Mitek Systems Inc,606710200,US6067102003,MITK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATR,MQ US Equity,MQ,Marqeta Inc,254900UZARK0FMZGZE18,Marqeta Inc,57142B104,US57142B2034,MQ,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
