holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AIG,American International Group I,ODVCVCQG2BP6VHV36M30,American International Group Inc,026874784,US0268747849,AIG,243.00000000,NS,USD,18502.02,1.29,Long,EC,CORP,US,N,1,N,N,N
AIZ,Assurant Inc,H3F39CAXWQRVWURFXL38,Assurant Inc,04621X108,US04621X1081,AIZ,36.00000000,NS,USD,9497.52,0.66,Long,EC,CORP,US,N,1,N,N,N
APO,Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,162.00000000,NS,USD,19861.20,1.38,Long,EC,CORP,US,N,1,N,N,N
AXP,American Express Co,R4PP93JZOLY261QX3811,American Express Co,025816109,US0258161092,AXP,126.00000000,NS,USD,43162.56,3.01,Long,EC,CORP,US,N,1,N,N,N
AXSM,Axsome Therapeutics Inc,549300EXGR0XLRJEIB95,Axsome Therapeutics Inc,05464T104,US05464T1043,AXSM,36.00000000,NS,USD,8565.12,0.60,Long,EC,CORP,US,N,1,N,N,N
BGC,BGC Group Inc,2549001IGRCG4F0RLD36,BGC Group Inc,088929104,US0889291045,BGC,405.00000000,NS,USD,5123.25,0.36,Long,EC,CORP,US,N,1,N,N,N
BLK,Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,36.00000000,NS,USD,35373.60,2.47,Long,EC,CORP,US,N,1,N,N,N
BMY,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42,Bristol-Myers Squibb Co,110122108,US1101221083,BMY,612.00000000,NS,USD,33660.00,2.35,Long,EC,CORP,US,N,1,N,N,N
BNY,Bank of New York Mellon Corp/T,WFLLPEPC7FZXENRZV188,Bank of New York Mellon Corp/The,064058100,US0640581007,BNY,207.00000000,NS,USD,29716.92,2.07,Long,EC,CORP,US,N,1,N,N,N
BRX,Brixmor Property Group Inc,5299007UXW6Y0W2EGZ95,Brixmor Property Group Inc,11120U105,US11120U1051,BRX,252.00000000,NS,USD,8051.40,0.56,Long,EC,CORP,US,N,1,N,N,N
