Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
NYNY,AIG US Equity,AIG,American International Group I,ODVCVCQG2BP6VHV36M30,American International Group Inc,026874784,US0268747849,AIG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,AIZ US Equity,AIZ,Assurant Inc,H3F39CAXWQRVWURFXL38,Assurant Inc,04621X108,US04621X1081,AIZ,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,APO US Equity,APO,Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,AXP US Equity,AXP,American Express Co,R4PP93JZOLY261QX3811,American Express Co,025816109,US0258161092,AXP,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,AXSM US Equity,AXSM,Axsome Therapeutics Inc,549300EXGR0XLRJEIB95,Axsome Therapeutics Inc,05464T104,US05464T1043,AXSM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BGC US Equity,BGC,BGC Group Inc,2549001IGRCG4F0RLD36,BGC Group Inc,088929104,US0889291045,BGC,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BLK US Equity,BLK,Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BMY US Equity,BMY,Bristol-Myers Squibb Co,HLYYNH7UQUORYSJQCN42,Bristol-Myers Squibb Co,110122108,US1101221083,BMY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BNY US Equity,BNY,Bank of New York Mellon Corp/T,WFLLPEPC7FZXENRZV188,Bank of New York Mellon Corp/The,064058100,US0640581007,BNY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BRX US Equity,BRX,Brixmor Property Group Inc,5299007UXW6Y0W2EGZ95,Brixmor Property Group Inc,11120U105,US11120U1051,BRX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,BX US Equity,BX,Blackstone Inc,5299004LW4QWGZUB8Y96,Blackstone Inc,09260D107,US09260D1072,BX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,C US Equity,C,Citigroup Inc,6SHGI4ZSSLCXXQSBB395,Citigroup Inc,172967424,US1729674242,C,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,CL US Equity,CL,Colgate-Palmolive Co,YMEGZFW4SBUSS5BQXF88,Colgate-Palmolive Co,194162103,US1941621039,CL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,COMP US Equity,COMP,Compass Inc,254900DMGQSTC3I2IM78,Compass Inc,20464U100,US20464U1007,COMP,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,DDOG US Equity,DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,DOCN US Equity,DOCN,DigitalOcean Holdings Inc,549300EPISPY3RE3DL21,DigitalOcean Holdings Inc,25402D102,US25402D1028,DOCN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,ED US Equity,ED,Consolidated Edison Inc,54930033SBW53OO8T749,Consolidated Edison Inc,209115104,US2091151041,ED,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,EL US Equity,EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,ETSY US Equity,ETSY,Etsy Inc,54930089Q7XT501AEA40,Etsy Inc,29786A106,US29786A1060,ETSY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,EVR US Equity,EVR,Evercore Inc,529900P6KLPT95DW3W58,Evercore Inc,29977A105,US29977A1051,EVR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,FOXA US Equity,FOXA,Fox Corp,549300DDU6FDRBIELS05,Fox Corp,35137L105,US35137L1052,FOXA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,GS US Equity,GS,Goldman Sachs Group Inc/The,784F5XWPLTWKTBV3E584,Goldman Sachs Group Inc/The,38141G104,US38141G1040,GS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,JEF US Equity,JEF,Jefferies Financial Group Inc,549300HOF34RGOJ5YL07,Jefferies Financial Group Inc,47233W109,US47233W1099,JEF,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,JPM US Equity,JPM,JPMORGAN CHASE & CO.,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,46625H100,US46625H1005,JPM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,KKR US Equity,KKR,KKR & Co Inc,54930013V5I303TF9571,KKR & Co Inc,48251W104,US48251W1045,KKR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,L US Equity,L,Loews Corp,R8V1FN4M5ITGZOG7BS19,Loews Corp,540424108,US5404241086,L,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYNY,LAZ US Equity,LAZ,Lazard Inc,254900RIBCDJSUFG1A11,Lazard Inc,52110M109,US52110M1099,LAZ,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
