holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACEL,Accel Entertainment Inc,N/A,Accel Entertainment Inc,00436Q106,US00436Q1067,ACEL,2412.00000000,NS,USD,31500.72,2.69,Long,EC,CORP,US,N,1,N,N,N
BALY,Bally's Corp,549300NS4D5IK406VT62,Bally's Corp,05875B304,US05875B3042,BALY,1377.00000000,NS,USD,19911.42,1.70,Long,EC,CORP,US,N,1,N,N,N
BRSL,Brightstar Lottery PLC,549300UQ6KHRCZDRGZ76,Brightstar Lottery PLC,N/A,GB00BVG7F061,BRSL,3006.00000000,NS,USD,32524.92,2.78,Long,EC,CORP,GB,N,1,N,N,N
BYD,Boyd Gaming Corp,254900787YGRYS2A1Z35,Boyd Gaming Corp,103304101,US1033041013,BYD,675.00000000,NS,USD,58657.50,5.02,Long,EC,CORP,US,N,1,N,N,N
CDRO,Codere Online Luxembourg SA,222100ZJU57ZQLLYNO89,Codere Online Luxembourg SA,N/A,LU2405144788,CDRO,1872.00000000,NS,USD,17933.76,1.53,Long,EC,CORP,LU,N,1,N,N,N
CHDN,Churchill Downs Inc,529900FODTBQC8MIS994,Churchill Downs Inc,171484108,US1714841087,CHDN,558.00000000,NS,USD,47212.38,4.04,Long,EC,CORP,US,N,1,N,N,N
CZR,Caesars Entertainment Inc,549300FA4CTCW903Y781,Caesars Entertainment Inc,12769G100,US12769G1004,CZR,2016.00000000,NS,USD,59673.60,5.10,Long,EC,CORP,US,N,1,N,N,N
DKNG,DraftKings Inc,2549006G33IUL6IVOD83,DraftKings Inc,26142V105,US26142V1052,DKNG,2448.00000000,NS,USD,60049.44,5.13,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,32399.94000000,NS,USD,32399.94,2.77,Long,STIV,RF,US,N,1,N,N,N
FLL,Full House Resorts Inc,5493009DKIWW0H901Y82,Full House Resorts Inc,359678109,US3596781092,FLL,5742.00000000,NS,USD,15618.24,1.34,Long,EC,CORP,US,N,1,N,N,N
FLUT,Flutter Entertainment PLC,635400EG4YIJLJMZJ782,Flutter Entertainment PLC,N/A,IE00BWT6H894,FLUT,1008.00000000,NS,USD,99298.08,8.49,Long,EC,CORP,US,N,1,N,N,N
GAMB,Gambling.com Group Ltd,254900PUNXQ3N26IMU63,Gambling.com Group Ltd,N/A,,GAMB,3807.00000000,NS,USD,8337.33,0.71,Long,EC,CORP,JE,N,1,N,N,N
GENI,Genius Sports Ltd,N/A,Genius Sports Ltd,N/A,GG00BMF1JR16,GENI,8010.00000000,NS,USD,45336.60,3.88,Long,EC,CORP,GB,N,1,N,N,N
INSE,Inspired Entertainment Inc,549300ZUGYK6NBIU6D69,Inspired Entertainment Inc,45782N108,US45782N1081,INSE,2637.00000000,NS,USD,21227.85,1.82,Long,EC,CORP,US,N,1,N,N,N
LVS,Las Vegas Sands Corp,549300DUOO1KXOHPM605,Las Vegas Sands Corp,517834107,US5178341070,LVS,2214.00000000,NS,USD,105740.64,9.04,Long,EC,CORP,US,N,1,N,N,N
MCRI,Monarch Casino & Resort Inc,549300AK5FF7KY11V997,Monarch Casino & Resort Inc,609027107,US6090271072,MCRI,333.00000000,NS,USD,43326.63,3.70,Long,EC,CORP,US,N,1,N,N,N
MGM,MGM Resorts International,54930066VBP7DZEGGJ87,MGM Resorts International,552953101,US5529531015,MGM,1440.00000000,NS,USD,67809.60,5.80,Long,EC,CORP,US,N,1,N,N,N
MLCO,Melco Resorts & Entertainment ,529900NRV6LBR3T6B421,Melco Resorts & Entertainment Ltd,585464100,US5854641009,MLCO,8982.00000000,NS,USD,49131.54,4.20,Long,EC,CORP,HK,N,1,N,N,N
PENN,Penn Entertainment Inc,N/A,Penn Entertainment Inc,707569109,US7075691094,PENN,2745.00000000,NS,USD,55943.10,4.78,Long,EC,CORP,US,N,1,N,N,N
PSFE,Paysafe Ltd,2138003K6PVDCI5TBN11,Paysafe Ltd,N/A,BMG6964L2062,PSFE,2160.00000000,NS,USD,14580.00,1.25,Long,EC,CORP,GB,N,1,N,N,N
RRR,Red Rock Resorts Inc,N/A,Red Rock Resorts Inc,75700L108,US75700L1089,RRR,1008.00000000,NS,USD,63000.00,5.39,Long,EC,CORP,US,N,1,N,N,N
RSI,Rush Street Interactive Inc,N/A,Rush Street Interactive Inc,782011100,US7820111000,RSI,2052.00000000,NS,USD,61211.16,5.23,Long,EC,CORP,US,N,1,N,N,N
SGHC,Super Group SGHC Ltd,N/A,Super Group SGHC Ltd,N/A,GG00BMG42V42,SGHC,3717.00000000,NS,USD,49510.44,4.23,Long,EC,CORP,GG,N,1,N,N,N
SRAD,Sportradar Group AG,549300H1P33YOAT7Z533,Sportradar Group AG,N/A,CH1134239669,SRAD,3600.00000000,NS,USD,53208.00,4.55,Long,EC,CORP,CH,N,1,N,N,N
WYNN,Wynn Resorts Ltd,254900CEKKWIHTEAB172,Wynn Resorts Ltd,983134107,US9831341071,WYNN,540.00000000,NS,USD,56025.00,4.79,Long,EC,CORP,US,N,1,N,N,N
