Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
ODDZ,ACEL US Equity,ACEL,Accel Entertainment Inc,N/A,Accel Entertainment Inc,00436Q106,US00436Q1067,ACEL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,BALY US Equity,BALY,Bally's Corp,549300NS4D5IK406VT62,Bally's Corp,05875B304,US05875B3042,BALY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,BRSL US Equity,BRSL,Brightstar Lottery PLC,549300UQ6KHRCZDRGZ76,Brightstar Lottery PLC,G4863A108,GB00BVG7F061,BRSL,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,BYD US Equity,BYD,Boyd Gaming Corp,254900787YGRYS2A1Z35,Boyd Gaming Corp,103304101,US1033041013,BYD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,CDRO US Equity,CDRO,Codere Online Luxembourg SA,222100ZJU57ZQLLYNO89,Codere Online Luxembourg SA,L18268109,LU2405144788,CDRO,LU,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,CHDN US Equity,CHDN,Churchill Downs Inc,529900FODTBQC8MIS994,Churchill Downs Inc,171484108,US1714841087,CHDN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,CZR US Equity,CZR,Caesars Entertainment Inc,549300FA4CTCW903Y781,Caesars Entertainment Inc,12769G100,US12769G1004,CZR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,DKNG US Equity,DKNG,DraftKings Inc,2549006G33IUL6IVOD83,DraftKings Inc,26142V105,US26142V1052,DKNG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODDZ,FLL US Equity,FLL,Full House Resorts Inc,5493009DKIWW0H901Y82,Full House Resorts Inc,359678109,US3596781092,FLL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
