holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,Apple Inc,037833100,US0378331005,AAPL,43.00000000,NS,USD,12602.44,0.38,Long,EC,CORP,US,N,1,N,N,N
ABNB,Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,118.00000000,NS,USD,17039.20,0.51,Long,EC,CORP,US,N,1,N,N,N
ACGL,Arch Capital Group Ltd,549300AYR4P8AFKDCE43,Arch Capital Group Ltd,N/A,BMG0450A1053,ACGL,71.00000000,NS,USD,6739.32,0.20,Long,EC,CORP,BM,N,1,N,N,N
AMAT,Applied Materials Inc,41BNNE1AFPNAZELZ6K07,Applied Materials Inc,038222105,US0382221051,AMAT,11.00000000,NS,USD,6478.67,0.20,Long,EC,CORP,US,N,1,N,N,N
AMD,Advanced Micro Devices Inc,R2I72C950HOYXII45366,Advanced Micro Devices Inc,007903107,US0079031078,AMD,33.00000000,NS,USD,17151.42,0.52,Long,EC,CORP,US,N,1,N,N,N
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,823.00000000,NS,USD,192804.21,5.82,Long,EC,CORP,US,N,1,N,N,N
ANET,Arista Networks Inc,635400H1WKBLOQERUU95,Arista Networks Inc,040413205,US0404132054,ANET,118.00000000,NS,USD,19085.32,0.58,Long,EC,CORP,US,N,1,N,N,N
APD,Air Products and Chemicals Inc,7QEON6Y1RL5XR3R1W237,Air Products and Chemicals Inc,009158106,US0091581068,APD,25.00000000,NS,USD,6968.25,0.21,Long,EC,CORP,US,N,1,N,N,N
APH,Amphenol Corp,549300D3L3G0R4U4VT04,Amphenol Corp,032095101,US0320951017,APH,70.00000000,NS,USD,11394.60,0.34,Long,EC,CORP,US,N,1,N,N,N
APO,Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,112.00000000,NS,USD,13731.20,0.41,Long,EC,CORP,US,N,1,N,N,N
APP,AppLovin Corp,549300LLVXMUAOL3SQ07,AppLovin Corp,03831W108,US03831W1080,APP,66.00000000,NS,USD,30687.36,0.93,Long,EC,CORP,US,N,1,N,N,N
ARES,Ares Management Corp,529900JUV61FH7B8VW38,Ares Management Corp,03990B101,US03990B1017,ARES,83.00000000,NS,USD,9451.21,0.29,Long,EC,CORP,US,N,1,N,N,N
AVGO,Broadcom Inc,549300WV6GIDOZJTV909,Broadcom Inc,11135F101,US11135F1012,AVGO,189.00000000,NS,USD,72211.23,2.18,Long,EC,CORP,US,N,1,N,N,N
AXON,Axon Enterprise Inc,549300QP2IEEGFE16681,Axon Enterprise Inc,05464C101,US05464C1018,AXON,20.00000000,NS,USD,9134.60,0.28,Long,EC,CORP,US,N,1,N,N,N
AZO,AutoZone Inc,GA3JGKJ41LJKXDN23E90,AutoZone Inc,053332102,US0533321024,AZO,3.00000000,NS,USD,9263.31,0.28,Long,EC,CORP,US,N,1,N,N,N
BAC,Bank of America Corp,9DJT3UXIJIZJI4WXO774,Bank of America Corp,060505104,US0605051046,BAC,111.00000000,NS,USD,6408.03,0.19,Long,EC,CORP,US,N,1,N,N,N
BLK,Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,14.00000000,NS,USD,13756.40,0.42,Long,EC,CORP,US,N,1,N,N,N
BRK/B,Berkshire Hathaway Inc,5493000C01ZX7D35SD85,Berkshire Hathaway Inc,084670702,US0846707026,BRK/B,213.00000000,NS,USD,105394.53,3.18,Long,EC,CORP,US,N,1,N,N,N
BX,Blackstone Inc,5299004LW4QWGZUB8Y96,Blackstone Inc,09260D107,US09260D1072,BX,202.00000000,NS,USD,22823.98,0.69,Long,EC,CORP,US,N,1,N,N,N
