Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
OWN,AAPL US Equity,AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,Apple Inc,037833100,US0378331005,AAPL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,ABNB US Equity,ABNB,Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,ACGL US Equity,ACGL,Arch Capital Group Ltd,549300AYR4P8AFKDCE43,Arch Capital Group Ltd,G0450A105,BMG0450A1053,ACGL,BM,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AMAT US Equity,AMAT,Applied Materials Inc,41BNNE1AFPNAZELZ6K07,Applied Materials Inc,038222105,US0382221051,AMAT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AMD US Equity,AMD,Advanced Micro Devices Inc,R2I72C950HOYXII45366,Advanced Micro Devices Inc,007903107,US0079031078,AMD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AMZN US Equity,AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,ANET US Equity,ANET,Arista Networks Inc,635400H1WKBLOQERUU95,Arista Networks Inc,040413205,US0404132054,ANET,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,APD US Equity,APD,Air Products and Chemicals Inc,7QEON6Y1RL5XR3R1W237,Air Products and Chemicals Inc,009158106,US0091581068,APD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,APH US Equity,APH,Amphenol Corp,549300D3L3G0R4U4VT04,Amphenol Corp,032095101,US0320951017,APH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,APO US Equity,APO,Apollo Global Management Inc,254900LMFT1CY9IYB476,Apollo Global Management Inc,03769M106,US03769M1062,APO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,APP US Equity,APP,AppLovin Corp,549300LLVXMUAOL3SQ07,AppLovin Corp,03831W108,US03831W1080,APP,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,ARES US Equity,ARES,Ares Management Corp,529900JUV61FH7B8VW38,Ares Management Corp,03990B101,US03990B1017,ARES,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AVGO US Equity,AVGO,Broadcom Inc,549300WV6GIDOZJTV909,Broadcom Inc,11135F101,US11135F1012,AVGO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AXON US Equity,AXON,Axon Enterprise Inc,549300QP2IEEGFE16681,Axon Enterprise Inc,05464C101,US05464C1018,AXON,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,AZO US Equity,AZO,AutoZone Inc,GA3JGKJ41LJKXDN23E90,AutoZone Inc,053332102,US0533321024,AZO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,BAC US Equity,BAC,Bank of America Corp,9DJT3UXIJIZJI4WXO774,Bank of America Corp,060505104,US0605051046,BAC,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,BLK US Equity,BLK,Blackrock Inc,529900VBK42Y5HHRMD23,Blackrock Inc,09290D101,US09290D1019,BLK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,BRK/B US Equity,BRK/B,Berkshire Hathaway Inc,5493000C01ZX7D35SD85,Berkshire Hathaway Inc,084670702,US0846707026,BRK/B,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,BX US Equity,BX,Blackstone Inc,5299004LW4QWGZUB8Y96,Blackstone Inc,09260D107,US09260D1072,BX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CARR US Equity,CARR,Carrier Global Corp,549300JE3W6CWY2NAN77,Carrier Global Corp,14448C104,US14448C1045,CARR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CAT US Equity,CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,Caterpillar Inc,149123101,US1491231015,CAT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CCL US Equity,CCL,Carnival Corp Ltd,F1OF2ZSX47CR0BCWA982,Carnival Corp Ltd,G2004J103,BMG2004J1036,CCL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CMCSA US Equity,CMCSA,Comcast Corp,51M0QTTNCGUN7KFCFZ59,Comcast Corp,20030N101,US20030N1019,CMCSA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,COIN US Equity,COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CPAY US Equity,CPAY,Corpay Inc,549300DG6RR0NQSFLN74,Corpay Inc,219948106,US2199481068,CPAY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CPRT US Equity,CPRT,Copart Inc,549300KVYX3JWMYEHU61,Copart Inc,217204106,US2172041061,CPRT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CRM US Equity,CRM,Salesforce Inc,RCGZFPDMRW58VJ54VR07,Salesforce Inc,79466L302,US79466L3024,CRM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CRWD US Equity,CRWD,Crowdstrike Holdings Inc,549300YBY08K9KM4HX32,Crowdstrike Holdings Inc,22788C105,US22788C1053,CRWD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CTAS US Equity,CTAS,Cintas Corp,N/A,Cintas Corp,172908105,US1729081059,CTAS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CVNA US Equity,CVNA,Carvana Co,5493003WEAK2PJ5WS063,Carvana Co,146869102,US1468691027,CVNA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CVS US Equity,CVS,CVS Health Corp,549300EJG376EN5NQE29,CVS Health Corp,126650100,US1266501006,CVS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,CVX US Equity,CVX,Chevron Corp,N/A,Chevron Corp,166764100,US1667641005,CVX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,DASH US Equity,DASH,DoorDash Inc,549300NUQ43FGGSK5051,DoorDash Inc,25809K105,US25809K1051,DASH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,DDOG US Equity,DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,DELL US Equity,DELL,Dell Technologies Inc,549300TJB5YBRUPOG437,Dell Technologies Inc,24703L202,US24703L2025,DELL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,DHR US Equity,DHR,Danaher Corp,S4BKK9OTCEWQ3YHPFM11,Danaher Corp,235851102,US2358511028,DHR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,DLTR US Equity,DLTR,Dollar Tree Inc,549300PMSTQITB1WHR43,Dollar Tree Inc,256746108,US2567461080,DLTR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,ECHO US Equity,ECHO,EchoStar Corp,549300EE20907QZ9GT38,EchoStar Corp,278768106,US2787681061,ECHO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,EL US Equity,EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,EXPE US Equity,EXPE,Expedia Group Inc,2549009GW3Z3DQCB8H87,Expedia Group Inc,30212P303,US30212P3038,EXPE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,FOXA US Equity,FOXA,Fox Corp,549300DDU6FDRBIELS05,Fox Corp,35137L105,US35137L1052,FOXA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,FTNT US Equity,FTNT,Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,GD US Equity,GD,General Dynamics Corp,9C1X8XOOTYY2FNYTVH06,General Dynamics Corp,369550108,US3695501086,GD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,GOOGL US Equity,GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,GRMN US Equity,GRMN,Garmin Ltd,2549001E0HIPIJQ0W046,Garmin Ltd,H2906T109,CH0114405324,GRMN,CH,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,GS US Equity,GS,Goldman Sachs Group Inc/The,784F5XWPLTWKTBV3E584,Goldman Sachs Group Inc/The,38141G104,US38141G1040,GS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,GWW US Equity,GWW,WW Grainger Inc,549300TWZSP6O1IH2V34,WW Grainger Inc,384802104,US3848021040,GWW,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWN,HCA US Equity,HCA,HCA Healthcare Inc,529900PH4ZGUH2MNEU89,HCA Healthcare Inc,40412C101,US40412C1018,HCA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
