holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACTG,Acacia Research Corp,529900BCN7BE6ESPDZ72,Acacia Research Corp,003881307,US0038813079,ACTG,3432.00000000,NS,USD,16130.40,1.12,Long,EC,CORP,US,N,1,N,N,N
ADEA,Adeia Inc,N/A,Adeia Inc,00676P107,US00676P1075,ADEA,1580.00000000,NS,USD,47494.80,3.31,Long,EC,CORP,US,N,1,N,N,N
ARM,ARM Holdings PLC,2138001E66EELTE7Y904,ARM Holdings PLC,042068205,US0420682058,ARM,286.00000000,NS,USD,102696.88,7.16,Long,EC,CORP,GB,N,1,N,N,N
CDNS,Cadence Design Systems Inc,GCT7RXJOGLXPV0NXZY22,Cadence Design Systems Inc,127387108,US1273871087,CDNS,198.00000000,NS,USD,73735.20,5.14,Long,EC,CORP,US,N,1,N,N,N
CEVA,CEVA Inc,529900G9T7CVU2J2VU73,CEVA Inc,157210105,US1572101053,CEVA,660.00000000,NS,USD,29723.10,2.07,Long,EC,CORP,US,N,1,N,N,N
DIS,Walt Disney Co/The,549300GZKULIZ0WOW665,Walt Disney Co/The,254687106,US2546871060,DIS,660.00000000,NS,USD,66739.20,4.65,Long,EC,CORP,US,N,1,N,N,N
DLB,Dolby Laboratories Inc,549300X04FB2QPCJ5J24,Dolby Laboratories Inc,25659T107,US25659T1079,DLB,451.00000000,NS,USD,23740.64,1.66,Long,EC,CORP,US,N,1,N,N,N
DPZ,Domino's Pizza Inc,25490005ZWM1IF9UXU57,Domino's Pizza Inc,25754A201,US25754A2015,DPZ,110.00000000,NS,USD,31638.20,2.21,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,29296.41000000,NS,USD,29296.41,2.04,Long,STIV,RF,US,N,1,N,N,N
FWONK,Liberty Media Corp-Liberty For,N/A,Liberty Media Corp-Liberty Formula One,531229755,US5312297550,FWONK,550.00000000,NS,USD,49516.50,3.45,Long,EC,CORP,US,N,1,N,N,N
HAS,Hasbro Inc,549300NUB6D2R1ITYR45,Hasbro Inc,418056107,US4180561072,HAS,451.00000000,NS,USD,37559.28,2.62,Long,EC,CORP,US,N,1,N,N,N
IBM,International Business Machine,VGRQXHF3J8VDLUA7XE92,International Business Machines Corp,459200101,US4592001014,IBM,286.00000000,NS,USD,75206.56,5.25,Long,EC,CORP,US,N,1,N,N,N
IDCC,InterDigital Inc,N/A,InterDigital Inc,45867G101,US45867G1013,IDCC,99.00000000,NS,USD,27130.95,1.89,Long,EC,CORP,US,N,1,N,N,N
LGND,Ligand Pharmaceuticals Inc,5493008K7TB0IKP37H79,Ligand Pharmaceuticals Inc,53220K504,US53220K5048,LGND,132.00000000,NS,USD,37608.12,2.62,Long,EC,CORP,US,N,1,N,N,N
MAT,Mattel Inc,549300VELLG24KHTJ564,Mattel Inc,577081102,US5770811025,MAT,2101.00000000,NS,USD,29161.88,2.03,Long,EC,CORP,US,N,1,N,N,N
MCD,McDonald's Corp,UE2136O97NLB5BYP9H04,McDonald's Corp,580135101,US5801351017,MCD,396.00000000,NS,USD,108456.48,7.56,Long,EC,CORP,US,N,1,N,N,N
NFLX,Netflix Inc,549300Y7VHGU0I7CE873,Netflix Inc,64110L106,US64110L1061,NFLX,1090.00000000,NS,USD,78305.60,5.46,Long,EC,CORP,US,N,1,N,N,N
NOK,Nokia Oyj,549300A0JPRWG1KI7U06,Nokia Oyj,654902204,US6549022043,NOK,2951.00000000,NS,USD,40753.31,2.84,Long,EC,CORP,FI,N,1,N,N,N
