Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
PTNT,ACTG US Equity,ACTG,Acacia Research Corp,529900BCN7BE6ESPDZ72,Acacia Research Corp,003881307,US0038813079,ACTG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,ADEA US Equity,ADEA,Adeia Inc,N/A,Adeia Inc,00676P107,US00676P1075,ADEA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,ARM US Equity,ARM,ARM Holdings PLC,2138001E66EELTE7Y904,ARM Holdings PLC,042068205,US0420682058,ARM,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,CDNS US Equity,CDNS,Cadence Design Systems Inc,GCT7RXJOGLXPV0NXZY22,Cadence Design Systems Inc,127387108,US1273871087,CDNS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,CEVA US Equity,CEVA,CEVA Inc,529900G9T7CVU2J2VU73,CEVA Inc,157210105,US1572101053,CEVA,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,DIS US Equity,DIS,Walt Disney Co/The,549300GZKULIZ0WOW665,Walt Disney Co/The,254687106,US2546871060,DIS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,DLB US Equity,DLB,Dolby Laboratories Inc,549300X04FB2QPCJ5J24,Dolby Laboratories Inc,25659T107,US25659T1079,DLB,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,DPZ US Equity,DPZ,Domino's Pizza Inc,25490005ZWM1IF9UXU57,Domino's Pizza Inc,25754A201,US25754A2015,DPZ,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTNT,FWONK US Equity,FWONK,Liberty Media Corp-Liberty For,N/A,Liberty Media Corp-Liberty Formula One,531229755,US5312297550,FWONK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
