Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
STYL,AEO US Equity,AEO,American Eagle Outfitters Inc,5299001Z9HXK01DHW793,American Eagle Outfitters Inc,02553E106,US02553E1064,AEO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,ANF US Equity,ANF,Abercrombie & Fitch Co,5493000J7LL72TOGT983,Abercrombie & Fitch Co,002896207,US0028962076,ANF,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,AS US Equity,AS,Amer Sports Inc,391200YCSWTRD1J21867,Amer Sports Inc,G0260P102,KYG0260P1028,AS,FI,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,BIRK US Equity,BIRK,Birkenstock Holding Plc,529900CQ8LQKQ7LIT631,Birkenstock Holding Plc,M2029K104,JE00BS44BN30,BIRK,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,BKE US Equity,BKE,Buckle Inc/The,5299007IU0461T3GDL34,Buckle Inc/The,118440106,US1184401065,BKE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,BOOT US Equity,BOOT,Boot Barn Holdings Inc,529900QE1BFMYA3N4E71,Boot Barn Holdings Inc,099406100,US0994061002,BOOT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,CAL US Equity,CAL,CALERES INC COM,JFU6RQQJ8Z1CPOLBXQ18,CALERES INC COM,129500104,US1295001044,CAL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,COLM US Equity,COLM,Columbia Sportswear Co,549300OTMCIEUXAH5Z60,Columbia Sportswear Co,198516106,US1985161066,COLM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,CPRI US Equity,CPRI,CAPRI HOLDINGS LTD,549300LPG8W0H1OX3A26,CAPRI HOLDINGS LTD,G1890L107,VGG1890L1076,CPRI,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,CRI US Equity,CRI,Carter's Inc,5299003WAQK4R3L3ZU36,Carter's Inc,146229109,US1462291097,CRI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,CROX US Equity,CROX,Crocs Inc,549300B0J6YCXD63OG72,Crocs Inc,227046109,US2270461096,CROX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,DBI US Equity,DBI,Designer Brands Inc,N/A,Designer Brands Inc,250565108,US2505651081,DBI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,DECK US Equity,DECK,Deckers Outdoor Corp,5493008LG4W3I6K8J118,Deckers Outdoor Corp,243537107,US2435371073,DECK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYL,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
