holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ABAT,American Battery Technology Co,529900JBJ8D85CDPHQ69,American Battery Technology Co,02451V309,US02451V3096,ABAT,19616.00000000,NS,USD,52963.20,2.56,Long,EC,CORP,US,N,1,N,N,N
AES,AES Corp/The,2NUNNB7D43COUIRE5295,AES Corp/The,00130H105,US00130H1059,AES,4448.00000000,NS,USD,65296.64,3.16,Long,EC,CORP,US,N,1,N,N,N
ALB,Albemarle Corp,HDBLS2Q6GV1LSKQPBS54,Albemarle Corp,012653101,US0126531013,ALB,496.00000000,NS,USD,73328.64,3.55,Long,EC,CORP,US,N,1,N,N,N
AMPX,Amprius Technologies Inc,N/A,Amprius Technologies Inc,03214Q108,US03214Q1085,AMPX,4208.00000000,NS,USD,52684.16,2.55,Long,EC,CORP,US,N,1,N,N,N
AMSC,American Superconductor Corp,549300S9YT8Z8LOK4452,American Superconductor Corp,030111207,US0301112076,AMSC,576.00000000,NS,USD,23529.60,1.14,Long,EC,CORP,US,N,1,N,N,N
ATKR,Atkore Inc,52990002TI38AM4RPV48,Atkore Inc,047649108,US0476491081,ATKR,416.00000000,NS,USD,32402.24,1.57,Long,EC,CORP,US,N,1,N,N,N
BE,Bloom Energy Corp,549300XB5J9BFW5JXV97,Bloom Energy Corp,093712107,US0937121079,BE,704.00000000,NS,USD,229637.76,11.11,Long,EC,CORP,US,N,1,N,N,N
ENPH,Enphase Energy Inc,5493008U7KIGMI59Z314,Enphase Energy Inc,29355A107,US29355A1079,ENPH,2928.00000000,NS,USD,140016.96,6.77,Long,EC,CORP,US,N,1,N,N,N
ENS,EnerSys,7ZS3DE5PN30BYUJFWP05,EnerSys,29275Y102,US29275Y1029,ENS,496.00000000,NS,USD,108594.24,5.25,Long,EC,CORP,US,N,1,N,N,N
ENVX,Enovix Corp,549300EC7NZGWORHYJ53,Enovix Corp,293594107,US2935941078,ENVX,11872.00000000,NS,USD,70519.68,3.41,Long,EC,CORP,US,N,1,N,N,N
EOSE,Eos Energy Enterprises Inc,529900UCCJMLRGDXVT41,Eos Energy Enterprises Inc,29415C101,US29415C1018,EOSE,12128.00000000,NS,USD,73495.68,3.56,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,31584.48000000,NS,USD,31584.48,1.53,Long,STIV,RF,US,N,1,N,N,N
FLNC,Fluence Energy Inc,25490043LHZ97BT5PP29,Fluence Energy Inc,34379V103,US34379V1035,FLNC,5984.00000000,NS,USD,118184.00,5.72,Long,EC,CORP,US,N,1,N,N,N
GNRC,Generac Holdings Inc,529900S2H2AHJHSFFI84,Generac Holdings Inc,368736104,US3687361044,GNRC,304.00000000,NS,USD,86378.56,4.18,Long,EC,CORP,US,N,1,N,N,N
MVST,Microvast Holdings Inc,549300J4UX9OMHSTKS35,Microvast Holdings Inc,59516C106,US59516C1062,MVST,33904.00000000,NS,USD,40006.72,1.94,Long,EC,CORP,US,N,1,N,N,N
NRGV,Energy Vault Holdings Inc,254900VMTXIU80WPJR14,Energy Vault Holdings Inc,29280W109,US29280W1099,NRGV,16688.00000000,NS,USD,65583.84,3.17,Long,EC,CORP,US,N,1,N,N,N
RUN,Sunrun Inc,54930007SJ77CI66U531,Sunrun Inc,86771W105,US86771W1053,RUN,8128.00000000,NS,USD,117205.76,5.67,Long,EC,CORP,US,N,1,N,N,N
SEDG,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,SolarEdge Technologies Inc,83417M104,US83417M1045,SEDG,2352.00000000,NS,USD,116988.48,5.66,Long,EC,CORP,IL,N,1,N,N,N
SES,SES AI Corp,529900HSCKUBL8K4K759,SES AI Corp,78397Q109,US78397Q1094,SES,50928.00000000,NS,USD,46094.93,2.23,Long,EC,CORP,US,N,1,N,N,N
SLDP,Solid Power Inc,5299001ZPFRA2QBIQK79,Solid Power Inc,83422N105,US83422N1054,SLDP,19904.00000000,NS,USD,52546.56,2.54,Long,EC,CORP,US,N,1,N,N,N
SQM,Sociedad Quimica y Minera de C,TJ88LXZZW5PWIN93ZC81,Sociedad Quimica y Minera de Chile SA,833635105,US8336351056,SQM,976.00000000,NS,USD,73766.08,3.57,Long,EC,CORP,CL,N,1,N,N,N
STEM,Stem Inc,549300GVWIYFILN5V546,Stem Inc,85859N300,US85859N3008,STEM,4640.00000000,NS,USD,34568.00,1.67,Long,EC,CORP,US,N,1,N,N,N
TE,T1 Energy Inc,529900H0645VFXNMJ693,T1 Energy Inc,35834F104,US35834F1049,TE,3648.00000000,NS,USD,31117.44,1.51,Long,EC,CORP,US,N,1,N,N,N
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,880.00000000,NS,USD,330466.40,15.99,Long,EC,CORP,US,N,1,N,N,N
