Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
WNDR,AAL US Equity,AAL,American Airlines Group Inc,IWUQB36BXD6OWD6X4T14,American Airlines Group Inc,02376R102,US02376R1023,AAL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,ABNB US Equity,ABNB,Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,ALGT US Equity,ALGT,Allegiant Travel Co,549300JM9OZXOHWL2K18,Allegiant Travel Co,01748X102,US01748X1028,ALGT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,ALK US Equity,ALK,Alaska Air Group Inc,529900G48RT4KWLC6C27,Alaska Air Group Inc,011659109,US0116591092,ALK,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,ASR US Equity,ASR,Grupo Aeroportuario del Surest,5299001W7JIDXCUOUC82,Grupo Aeroportuario del Sureste SAB de CV,40051E202,US40051E2028,ASR,MX,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,AXP US Equity,AXP,American Express Co,R4PP93JZOLY261QX3811,American Express Co,025816109,US0258161092,AXP,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,BKNG US Equity,BKNG,Booking Holdings Inc,FXM8FAOHMYDIPD38UZ17,Booking Holdings Inc,09857L108,US09857L1089,BKNG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,CAR US Equity,CAR,Avis Budget Group Inc,529900E95812SYWMCE44,Avis Budget Group Inc,053774105,US0537741052,CAR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,CCL US Equity,CCL,Carnival Corp Ltd,F1OF2ZSX47CR0BCWA982,Carnival Corp Ltd,G2004J103,BMG2004J1036,CCL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,CHH US Equity,CHH,Choice Hotels International In,5493003CYRY5RFGTIR97,Choice Hotels International Inc,169905106,US1699051066,CHH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,CPA US Equity,CPA,Copa Holdings SA,529900BB9UQJV6QQHA59,Copa Holdings SA,P31076105,PAP310761054,CPA,PA,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,CZR US Equity,CZR,Caesars Entertainment Inc,549300FA4CTCW903Y781,Caesars Entertainment Inc,12769G100,US12769G1004,CZR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,DAL US Equity,DAL,Delta Air Lines Inc,Q2CCMS6R0AS67HJMBN42,Delta Air Lines Inc,247361702,US2473617023,DAL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,DIS US Equity,DIS,Walt Disney Co/The,549300GZKULIZ0WOW665,Walt Disney Co/The,254687106,US2546871060,DIS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,DRH US Equity,DRH,DiamondRock Hospitality Co,529900KKD4BPVBUAQ734,DiamondRock Hospitality Co,252784301,US2527843013,DRH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,EXPE US Equity,EXPE,Expedia Group Inc,2549009GW3Z3DQCB8H87,Expedia Group Inc,30212P303,US30212P3038,EXPE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,FLYW US Equity,FLYW,Flywire Corp,54930055DSV7NNY4VY66,Flywire Corp,302492103,US3024921039,FLYW,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,FOUR US Equity,FOUR,Shift4 Payments Inc,N/A,Shift4 Payments Inc,82452J109,US82452J1097,FOUR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,FUN US Equity,FUN,Six Flags Entertainment Corp,529900AS2CYWYFHRS781,Six Flags Entertainment Corp,83001C108,US83001C1080,FUN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,GBTG US Equity,GBTG,Global Business Travel Group I,N/A,Global Business Travel Group I,37890B100,US37890B1008,GBTG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,H US Equity,H,Hyatt Hotels Corp,T27JQIMTYSH41TCD5186,Hyatt Hotels Corp,448579102,US4485791028,H,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,HGV US Equity,HGV,Hilton Grand Vacations Inc,549300O9K6MFD8D07574,Hilton Grand Vacations Inc,43283X105,US43283X1054,HGV,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,HLT US Equity,HLT,Hilton Worldwide Holdings Inc,549300HVGPK36ICB0B89,Hilton Worldwide Holdings Inc,43300A203,US43300A2033,HLT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,HST US Equity,HST,Host Hotels & Resorts Inc,N6EL63S0K3PB1YFTDI24,Host Hotels & Resorts Inc,44107P104,US44107P1049,HST,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,HTHT US Equity,HTHT,H World Group Ltd,549300Y5ML31FVN83730,H World Group Ltd,44332N106,US44332N1063,HTHT,CN,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,HTZ US Equity,HTZ,Hertz Global Holdings Inc,549300NBK3K85MH1EX16,Hertz Global Holdings Inc,42806J700,US42806J7000,HTZ,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,IHG US Equity,IHG,InterContinental Hotels Group ,2138007ZFQYRUSLU3J98,InterContinental Hotels Group PLC,45857P806,US45857P8068,IHG,GB,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNDR,JBLU US Equity,JBLU,JetBlue Airways Corp,54930070J9H97ZO93T57,JetBlue Airways Corp,477143101,US4771431016,JBLU,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
