Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
WR,AMTM US Equity,AMTM,Amentum Holdings Inc,2549009FJIBLW40CU216,Amentum Holdings Inc,023939101,US0239391016,AMTM,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,ATI US Equity,ATI,ATI Inc,ZW1LRE7C3H17O2ZN9B45,ATI Inc,01741R102,US01741R1023,ATI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,AVAV US Equity,AVAV,AeroVironment Inc,529900PGHVI29YLZ6221,AeroVironment Inc,008073108,US0080731088,AVAV,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,BAH US Equity,BAH,Booz Allen Hamilton Holding Co,529900JPV47PIUWMA015,Booz Allen Hamilton Holding Corp,099502106,US0995021062,BAH,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,BKR US Equity,BKR,Baker Hughes Co,N/A,Baker Hughes Co,05722G100,US05722G1004,BKR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,BWXT US Equity,BWXT,BWX Technologies Inc,549300NP85N265KWMS58,BWX Technologies Inc,05605H100,US05605H1005,BWXT,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,CACI US Equity,CACI,CACI International Inc,SYRPI2D1O9WRTS2WX210,CACI International Inc,127190304,US1271903049,CACI,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,CDRE US Equity,CDRE,Cadre Holdings Inc,2549006IKQEWJ8M7CB97,Cadre Holdings Inc,12763L105,US12763L1052,CDRE,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,COP US Equity,COP,ConocoPhillips,WPTL2Z3FIYTHSP5V2253,ConocoPhillips,20825C104,US20825C1045,COP,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,CVX US Equity,CVX,Chevron Corp,N/A,Chevron Corp,166764100,US1667641005,CVX,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,DRS US Equity,DRS,Leonardo DRS Inc,549300HMMEWVG3PPQU18,Leonardo DRS Inc,52661A108,US52661A1088,DRS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,DVN US Equity,DVN,Devon Energy Corp,54930042348RKR3ZPN35,Devon Energy Corp,25179M103,US25179M1036,DVN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
