Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
YUNG,ADUS US Equity,ADUS,Addus HomeCare Corp,52990090ZT33AKPDBX62,Addus HomeCare Corp,006739106,US0067391062,ADUS,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,AHR US Equity,AHR,American Healthcare REIT Inc,2549004GGE2APGNT6O92,American Healthcare REIT Inc,398182303,US3981823038,AHR,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,ALC US Equity,ALC,Alcon AG,549300LDT5AP8S0NBM78,Alcon AG,H01301128,CH0432492467,ALC,CH,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,BC US Equity,BC,Brunswick Corp/DE,YM4O38W15AX4YLLQKU27,Brunswick Corp/DE,117043109,US1170431092,BC,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,BKD US Equity,BKD,Brookdale Senior Living Inc,LH7MQB13NWY7CJ9VC445,Brookdale Senior Living Inc,112463104,US1124631045,BKD,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,BKNG US Equity,BKNG,Booking Holdings Inc,FXM8FAOHMYDIPD38UZ17,Booking Holdings Inc,09857L108,US09857L1089,BKNG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,BTSG US Equity,BTSG,BrightSpring Health Services I,N/A,BrightSpring Health Services Inc,10950A106,US10950A1060,BTSG,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,CALY US Equity,CALY,Callaway Golf Co,5493005UB0KFRKBPCU72,Callaway Golf Co,131193104,US1311931042,CALY,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,CCL US Equity,CCL,Carnival Corp Ltd,F1OF2ZSX47CR0BCWA982,Carnival Corp Ltd,G2004J103,BMG2004J1036,CCL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNG,COO US Equity,COO,Cooper Cos Inc/The,QJKMVPIGLH7530PCUE20,Cooper Cos Inc/The,216648501,US2166485019,COO,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
