holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AAOI,Applied Optoelectronics Inc,529900I8U6Q5SYDNLT48,Applied Optoelectronics Inc,03823U102,US03823U1025,AAOI,42656.00000000,NS,USD,6269152.32,1.65,Long,EC,CORP,US,N,1,N,N,N
ADTN,ADTRAN Holdings Inc,549300VV36J86CRRWF77,ADTRAN Holdings Inc,00486H105,US00486H1059,ADTN,250604.00000000,NS,USD,3498431.84,0.92,Long,EC,CORP,US,N,1,N,N,N
AEHR,Aehr Test Systems,529900A4GWWZFRU2RE97,Aehr Test Systems,00760J108,US00760J1088,AEHR,45322.00000000,NS,USD,4314654.40,1.14,Long,EC,CORP,US,N,1,N,N,N
AEVA,Aeva Technologies Inc,529900EOW3TB2FR95A21,Aeva Technologies Inc,00835Q202,US00835Q2021,AEVA,197458.00000000,NS,USD,3957058.32,1.04,Long,EC,CORP,US,N,1,N,N,N
AMAT,Applied Materials Inc,41BNNE1AFPNAZELZ6K07,Applied Materials Inc,038222105,US0382221051,AMAT,39990.00000000,NS,USD,23552910.30,6.21,Long,EC,CORP,US,N,1,N,N,N
ASML,ASML Holding NV,724500Y6DUVHQD6OXN27,ASML Holding NV,N/A,USN070592100,ASML,18662.00000000,NS,USD,32896813.74,8.68,Long,EC,CORP,NL,N,1,N,N,N
AXTI,AXT Inc,549300M2142IVLVIJN37,AXT Inc,00246W103,US00246W1036,AXTI,74648.00000000,NS,USD,5235810.72,1.38,Long,EC,CORP,US,N,1,N,N,N
CAMT,Camtek Ltd/Israel,5493000H80W07HCKGS43,Camtek Ltd/Israel,N/A,IL0010952641,CAMT,29326.00000000,NS,USD,4894509.40,1.29,Long,EC,CORP,IL,N,1,N,N,N
CIEN,Ciena Corp,W0CZ7N0GH8UIGXDM1H41,Ciena Corp,171779309,US1717793095,CIEN,26660.00000000,NS,USD,12357176.60,3.26,Long,EC,CORP,US,N,1,N,N,N
COHR,Coherent Corp,549300O5C25A0MMHHU33,Coherent Corp,19247G107,US19247G1076,COHR,37324.00000000,NS,USD,14649670.00,3.86,Long,EC,CORP,US,N,1,N,N,N
CRDO,Credo Technology Group Holding,N/A,Credo Technology Group Holding Ltd,N/A,KYG254571055,CRDO,45322.00000000,NS,USD,12191164.78,3.22,Long,EC,CORP,US,N,1,N,N,N
ENTG,Entegris Inc,IYX6OWO7BT5DKO3BYG52,Entegris Inc,29362U104,US29362U1043,ENTG,58652.00000000,NS,USD,10056471.92,2.65,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,11534676.00000000,NS,USD,11534676.00,3.04,Long,STIV,RF,US,N,1,N,N,N
FN,Fabrinet,5493004TETZ6IYF7CV44,Fabrinet,N/A,KYG3323L1005,FN,13330.00000000,NS,USD,7573706.10,2.00,Long,EC,CORP,TH,N,1,N,N,N
FORM,FormFactor Inc,549300YCEEO6SZD1ZR61,FormFactor Inc,346375108,US3463751087,FORM,45322.00000000,NS,USD,6409437.24,1.69,Long,EC,CORP,US,N,1,N,N,N
GFS,GLOBALFOUNDRIES Inc,549300BA76VK784VMX48,GLOBALFOUNDRIES Inc,N/A,KYG393871085,GFS,10664.00000000,NS,USD,892576.80,0.24,Long,EC,CORP,US,N,1,N,N,N
GLW,Corning Inc,549300X2937PB0CJ7I56,Corning Inc,219350105,US2193501051,GLW,93310.00000000,NS,USD,19205997.30,5.07,Long,EC,CORP,US,N,1,N,N,N
HSAI,Hesai Group,836800KOYHURQT1JZY11,Hesai Group,428050108,US4280501085,HSAI,250604.00000000,NS,USD,3911928.44,1.03,Long,EC,CORP,CN,N,1,N,N,N
IPGP,IPG Photonics Corp,5493002KZ51CADQ94G15,IPG Photonics Corp,44980X109,US44980X1090,IPGP,42656.00000000,NS,USD,4594904.32,1.21,Long,EC,CORP,US,N,1,N,N,N
KLAC,KLA CORP,549300H0BF5JCG96TJ81,KLA CORP,482480100,US4824801009,KLAC,79980.00000000,NS,USD,19233590.40,5.07,Long,EC,CORP,US,N,1,N,N,N
LASR,nLight Inc,N/A,nLight Inc,65487K100,US65487K1007,LASR,74648.00000000,NS,USD,4763288.88,1.26,Long,EC,CORP,US,N,1,N,N,N
LITE,Lumentum Holdings Inc,549300JLWRRC38DWEF52,Lumentum Holdings Inc,55024U109,US55024U1097,LITE,15996.00000000,NS,USD,13477109.88,3.55,Long,EC,CORP,US,N,1,N,N,N
LRCX,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,US5128073062,LRCX,61318.00000000,NS,USD,22981986.40,6.06,Long,EC,CORP,US,N,1,N,N,N
LWLG,Lightwave Logic Inc,N/A,Lightwave Logic Inc,532275104,US5322751042,LWLG,53320.00000000,NS,USD,447354.80,0.12,Long,EC,CORP,US,N,1,N,N,N
MRVL,MARVELL TECHNOLOGY INC,254900WVU0BM7ZCJ9E93,MARVELL TECHNOLOGY INC,573874104,US5738741041,MRVL,47988.00000000,NS,USD,13278279.60,3.50,Long,EC,CORP,US,N,1,N,N,N
MTRN,Materion Corp,549300CJ5RI351SUYT02,Materion Corp,576690101,US5766901012,MTRN,2666.00000000,NS,USD,718806.92,0.19,Long,EC,CORP,US,N,1,N,N,N
MTSI,MACOM Technology Solutions Hol,N/A,MACOM Technology Solutions Holdings Inc,55405Y100,US55405Y1001,MTSI,31992.00000000,NS,USD,11935575.36,3.15,Long,EC,CORP,US,N,1,N,N,N
NOVT,Novanta Inc,N/A,Novanta Inc,67000B104,CA67000B1040,NOVT,45322.00000000,NS,USD,6888944.00,1.82,Long,EC,CORP,US,N,1,N,N,N
NVMI,Nova Ltd,529900B2DSWE5V3SC292,Nova Ltd,N/A,IL0010845571,NVMI,15996.00000000,NS,USD,8348792.28,2.20,Long,EC,CORP,IL,N,1,N,N,N
ONTO,Onto Innovation Inc,254900RXZVN73CHOO062,Onto Innovation Inc,683344105,US6833441057,ONTO,26660.00000000,NS,USD,8590918.40,2.27,Long,EC,CORP,US,N,1,N,N,N
OUST,Ouster Inc,N/A,Ouster Inc,68989M202,US68989M2026,OUST,154628.00000000,NS,USD,6294905.88,1.66,Long,EC,CORP,US,N,1,N,N,N
PDFS,PDF Solutions Inc,549300GMSP6MROFBI160,PDF Solutions Inc,693282105,US6932821050,PDFS,93310.00000000,NS,USD,5930783.60,1.56,Long,EC,CORP,US,N,1,N,N,N
PLAB,Photronics Inc,549300OK5JVNIBNY6F63,Photronics Inc,719405102,US7194051022,PLAB,98642.00000000,NS,USD,3122019.30,0.82,Long,EC,CORP,US,N,1,N,N,N
