holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AEO,American Eagle Outfitters Inc,5299001Z9HXK01DHW793,American Eagle Outfitters Inc,02553E106,US02553E1064,AEO,1396.00000000,NS,USD,25826.00,1.78,Long,EC,CORP,US,N,1,N,N,N
ANF,Abercrombie & Fitch Co,5493000J7LL72TOGT983,Abercrombie & Fitch Co,002896207,US0028962076,ANF,376.00000000,NS,USD,33400.08,2.30,Long,EC,CORP,US,N,1,N,N,N
AS,Amer Sports Inc,391200YCSWTRD1J21867,Amer Sports Inc,N/A,KYG0260P1028,AS,900.00000000,NS,USD,31590.00,2.17,Long,EC,CORP,FI,N,1,N,N,N
BIRK,Birkenstock Holding Plc,529900CQ8LQKQ7LIT631,Birkenstock Holding Plc,N/A,JE00BS44BN30,BIRK,450.00000000,NS,USD,20290.50,1.40,Long,EC,CORP,GB,N,1,N,N,N
BKE,Buckle Inc/The,5299007IU0461T3GDL34,Buckle Inc/The,118440106,US1184401065,BKE,279.00000000,NS,USD,12435.03,0.86,Long,EC,CORP,US,N,1,N,N,N
BOOT,Boot Barn Holdings Inc,529900QE1BFMYA3N4E71,Boot Barn Holdings Inc,099406100,US0994061002,BOOT,162.00000000,NS,USD,28751.76,1.98,Long,EC,CORP,US,N,1,N,N,N
CAL,CALERES INC COM,JFU6RQQJ8Z1CPOLBXQ18,CALERES INC COM,129500104,US1295001044,CAL,522.00000000,NS,USD,6770.34,0.47,Long,EC,CORP,US,N,1,N,N,N
COLM,Columbia Sportswear Co,549300OTMCIEUXAH5Z60,Columbia Sportswear Co,198516106,US1985161066,COLM,225.00000000,NS,USD,14514.75,1.00,Long,EC,CORP,US,N,1,N,N,N
CPRI,CAPRI HOLDINGS LTD,549300LPG8W0H1OX3A26,CAPRI HOLDINGS LTD,N/A,VGG1890L1076,CPRI,864.00000000,NS,USD,16528.32,1.14,Long,EC,CORP,GB,N,1,N,N,N
CRI,Carter's Inc,5299003WAQK4R3L3ZU36,Carter's Inc,146229109,US1462291097,CRI,369.00000000,NS,USD,15988.77,1.10,Long,EC,CORP,US,N,1,N,N,N
CROX,Crocs Inc,549300B0J6YCXD63OG72,Crocs Inc,227046109,US2270461096,CROX,252.00000000,NS,USD,30592.80,2.11,Long,EC,CORP,US,N,1,N,N,N
