fund,field,source,as_of,value
ACLZ,unrealizedAppr[054540208-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-6321.11
ACMM,unrealizedAppr[00108J109-TRS-07/26/27-L-MREX],EagleSTAR PVal,20260624,12399.29
BRZX,unrealizedAppr[464286400-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-21333.21
CAMC,unrealizedAppr[M20791105-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-7392.44
CARX,unrealizedAppr[565394103-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,5432.48
CCPX,unrealizedAppr[464287184-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-199252.10
CJUN,unrealizedAppr[2SPY  270528C00151710],EagleSTAR PVal,20260624,-36881.42
CJUN,unrealizedAppr[2SPY  270528C00863900],EagleSTAR PVal,20260624,17277.93
CJUN,unrealizedAppr[2SPY  270528P00644760],EagleSTAR PVal,20260624,-2834.28
CJUN,unrealizedAppr[2SPY  270528P00758540],EagleSTAR PVal,20260624,8645.69
CMAG,unrealizedAppr[02079K305-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-54651.54
CMAG,unrealizedAppr[023135106-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-33192.09
CMAG,unrealizedAppr[037833100-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-2681.45
CMAG,unrealizedAppr[30303M102-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-12970.95
CMAG,unrealizedAppr[594918104-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-66723.03
CMAG,unrealizedAppr[67066G104-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-32803.25
CMAG,unrealizedAppr[88160R101-TRS-05/31/27-L-CANT],EagleSTAR PVal,20260624,-12189.34
CMAY,unrealizedAppr[2SPY  270430C00143730],EagleSTAR PVal,20260624,114059.23
CMAY,unrealizedAppr[2SPY  270430C00797710],EagleSTAR PVal,20260624,-32057.37
CMAY,unrealizedAppr[2SPY  270430P00610860],EagleSTAR PVal,20260624,15636.76
CMAY,unrealizedAppr[2SPY  270430P00718660],EagleSTAR PVal,20260624,2550.14
CRUC,unrealizedAppr[172755100-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-450.29
CTJN,unrealizedAppr[2SPY  270528C00151710],EagleSTAR PVal,20260624,-27687.42
CTJN,unrealizedAppr[2SPY  270528C00865650],EagleSTAR PVal,20260624,12493.99
CTJN,unrealizedAppr[2SPY  270528P00493050],EagleSTAR PVal,20260624,-297.75
CTJN,unrealizedAppr[2SPY  270528P00720610],EagleSTAR PVal,20260624,4179.99
CTMA,unrealizedAppr[2SPY  270430C00144740],EagleSTAR PVal,20260624,34645.76
CTMA,unrealizedAppr[2SPY  270430C00806940],EagleSTAR PVal,20260624,21318.01
CTMA,unrealizedAppr[2SPY  270430P00470410],EagleSTAR PVal,20260624,9369.43
CTMA,unrealizedAppr[2SPY  270430P00687520],EagleSTAR PVal,20260624,-23732.97
EMJN,unrealizedAppr[2EEM  270528C00014020],EagleSTAR PVal,20260624,-48450.10
EMJN,unrealizedAppr[2EEM  270528C00087030],EagleSTAR PVal,20260624,9820.30
EMJN,unrealizedAppr[2EEM  270528P00059570],EagleSTAR PVal,20260624,370.57
EMJN,unrealizedAppr[2EEM  270528P00070080],EagleSTAR PVal,20260624,12191.21
EMMY,unrealizedAppr[2EEM  270430C00013080],EagleSTAR PVal,20260624,-66410.38
EMMY,unrealizedAppr[2EEM  270430C00081100],EagleSTAR PVal,20260624,-78689.04
EMMY,unrealizedAppr[2EEM  270430P00055590],EagleSTAR PVal,20260624,-51169.53
EMMY,unrealizedAppr[2EEM  270430P00065400],EagleSTAR PVal,20260624,111607.48
EMXX,unrealizedAppr[922042858-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-17817.91
EUVX,unrealizedAppr[218946663-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,46668.61
FDRX,unrealizedAppr[218946101-TRS-01/19/28-L],EagleSTAR PVal,20260624,1439385.96
HJUN,unrealizedAppr[2SPY  270528C00151710],EagleSTAR PVal,20260624,-29066.42
HJUN,unrealizedAppr[2SPY  270528C00819680],EagleSTAR PVal,20260624,19787.62
HJUN,unrealizedAppr[2SPY  270528P00758540],EagleSTAR PVal,20260624,6600.69
HMAY,unrealizedAppr[2SPY  270430C00144740],EagleSTAR PVal,20260624,35072.73
HMAY,unrealizedAppr[2SPY  270430C00770750],EagleSTAR PVal,20260624,20503.71
HMAY,unrealizedAppr[2SPY  270430P00723710],EagleSTAR PVal,20260624,-27265.33
IDJN,unrealizedAppr[2EFA  270528C00020890],EagleSTAR PVal,20260624,-23952.46
IDJN,unrealizedAppr[2EFA  270528C00120890],EagleSTAR PVal,20260624,15944.49
IDJN,unrealizedAppr[2EFA  270528P00088770],EagleSTAR PVal,20260624,6946.58
IDJN,unrealizedAppr[2EFA  270528P00104440],EagleSTAR PVal,20260624,4705.90
IDMY,unrealizedAppr[2EFA  270430C00020410],EagleSTAR PVal,20260624,-120701.56
IDMY,unrealizedAppr[2EFA  270430C00118370],EagleSTAR PVal,20260624,47890.74
IDMY,unrealizedAppr[2EFA  270430P00086730],EagleSTAR PVal,20260624,12776.63
IDMY,unrealizedAppr[2EFA  270430P00102040],EagleSTAR PVal,20260624,10382.55
JUNC,unrealizedAppr[2SPY  270528C00151710],EagleSTAR PVal,20260624,-27461.83
JUNC,unrealizedAppr[2SPY  270528C00896220],EagleSTAR PVal,20260624,9440.95
JUNC,unrealizedAppr[2SPY  270528P00682690],EagleSTAR PVal,20260624,-2611.88
JUNC,unrealizedAppr[2SPY  270528P00758540],EagleSTAR PVal,20260624,5664.50
KEYX,unrealizedAppr[49338L103-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-1905.58
KRWX,unrealizedAppr[464286772-TRS-07/07/27-L-CLST],EagleSTAR PVal,20260624,-32386.85
KRWX,unrealizedAppr[464286772-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,9903.94
LASC,unrealizedAppr[65487K100-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,-19856.08
LRNX,unrealizedAppr[86333M108-TRS-12/01/27-L-CANT],EagleSTAR PVal,20260624,10947.52
MAYC,unrealizedAppr[2SPY  270430C00143730],EagleSTAR PVal,20260624,116673.43
